age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
44,9,False,True,0,0,0,1,H,0
28,10,False,True,0,0,0,1,HOH,1
58,11,False,True,0,0,0,1,HWH,6
74,7,True,True,0,0,0,1,H,5
51,7,False,True,0,0,0,1,H,3
45,11,True,True,0,0,0,1,HWH,5
56,11,False,True,0,0,0,1,HOH,5
50,8,False,False,0,0,0,1,HWH,0
62,6,True,True,0,0,0,1,HOWH,0
36,8,False,True,0,0,0,1,HWH,0
46,4,True,True,0,0,0,1,HOH,7
58,5,False,True,0,0,0,1,HWOH,7
62,11,True,True,0,0,0,1,HWH,5
49,10,True,True,0,0,0,1,HWH,0
61,10,True,True,0,0,0,1,HWH,1
46,8,False,True,0,0,0,1,HOH,3
50,8,False,False,0,0,0,1,HWH,0
73,10,True,True,0,0,0,1,H,3
50,8,False,True,0,0,0,1,HWH,3
57,8,True,True,0,0,0,1,HOH,6
50,1,False,True,0,0,0,1,HOH,3
55,8,False,False,0,0,0,1,HOH,1
24,9,True,True,0,0,0,1,HWH,6
57,7,True,True,0,0,0,1,HWH,6
65,9,True,True,0,0,0,1,HWH,5
20,11,True,False,0,0,0,1,H,1
69,8,False,False,0,0,0,1,HWH,1
56,8,True,False,0,0,0,1,HWH,4
54,11,True,True,0,0,0,1,HOH,4
28,10,False,True,0,0,0,1,HOH,1
47,6,True,True,0,0,0,1,HWH,5
23,6,True,True,0,0,0,1,HWH,3
58,6,False,True,0,0,0,1,HOH,0
64,6,True,True,0,0,0,1,HOH,2
29,6,False,True,0,0,0,1,HWH,3
58,11,True,True,0,0,0,1,HOH,3
42,10,True,True,0,0,0,1,H,1
49,10,True,True,0,0,0,1,HWH,0
64,6,False,True,0,0,0,1,HWH,0
44,8,False,True,0,0,0,1,HWH,1
23,8,True,True,0,0,0,1,HWH,5
42,8,False,True,0,0,0,1,HWH,5
63,11,True,True,0,0,0,1,HOH,5
31,7,False,True,0,0,0,1,HWH,3
25,9,False,True,0,0,0,1,H,0
23,6,True,True,0,0,0,1,HWH,3
36,10,False,True,0,0,0,1,HWH,0
49,10,True,True,0,0,0,1,HWH,0
66,8,True,True,0,0,0,1,HOH,6
26,6,False,True,0,0,0,1,HWH,4
