age,bachelor_degree,hh_income,home_GEOID,home_geo_index,main_mode,male,motif,pop_per_sqmile_home,work_GEOID,work_geo_index
53,1,6,250250810012,107,0,0,HOH,1500,250250808011,97
34,0,9,250173510004,695,0,1,H,1500,250250701018,854
62,0,7,250214163002,1550,-99,1,HOH,1500,250250702003,856
17,0,9,250173423001,1534,2,1,HOH,7000,250173363007,44
48,1,8,250250102033,1016,-99,0,HOH,7000,250250107011,1085
33,0,4,250251106074,1147,3,1,HOH,17000,250250806013,1038
17,0,9,250173578001,151,2,1,HOH,7000,250235012023,174
77,1,9,250214161012,476,-99,0,H,1500,250214176012,617
16,0,5,250173742002,562,0,1,HOH,750,250250606001,758
54,1,11,250173508001,806,0,0,HOH,17000,250250103002,1079
40,1,8,250173336001,1585,0,1,HOH,300,250173336003,1586
35,1,9,250173504005,588,0,1,HWH,7000,250173523002,822
52,1,6,250251010021,913,0,0,HWOH,3000,250173703005,781
27,0,3,250173583002,158,-99,0,HOH,7000,250250606001,758
24,1,11,250250812002,117,3,0,HOH,30000,250214035001,201
51,0,6,250251605023,1177,0,1,HOH,750,250251604002,1396
52,0,8,250251702002,1180,0,1,HOH,1500,250251704001,1421
45,1,7,250173529002,212,0,1,HWH,1500,250250801001,81
43,1,11,250250921013,352,3,1,HWH,17000,250214191001,4
29,1,5,250214164007,494,0,0,HOH,7000,250250603011,747
61,1,1,250250911003,1062,0,1,HWH,1500,250173529001,211
42,1,8,250250922003,359,0,1,HOH,750,250092069003,1478
55,1,11,250173704001,782,0,0,HOH,1500,250250701018,854
68,1,7,250173686004,374,0,0,H,3000,250173701023,400
28,1,9,250214194003,933,3,1,HWH,17000,250214180031,1592
48,0,3,250173507001,598,0,0,HOH,17000,250250606001,758
31,1,7,250173371012,58,-99,0,HOH,3000,250250203011,469
55,0,7,250173574003,144,0,1,HWH,300,250173511004,701
44,1,9,250251008003,902,-99,0,HOH,1500,250173324002,1568
35,0,8,250250301001,1091,0,0,HWH,750,250173334001,1578
35,1,11,250250814001,1046,2,0,HWH,30000,250173747001,350
45,1,10,250250711012,75,3,0,HOH,1500,250235011024,173
43,1,11,250173567011,116,2,1,HWH,30000,250173584004,162
