age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
59,8,False,True,0,0,0,1,HOH,0
73,11,False,True,0,0,0,1,HOH,0
62,11,True,True,0,0,0,1,HWH,1
41,8,False,True,0,0,0,1,HOH,1
58,5,False,True,0,0,0,1,HWOH,7
34,7,False,True,0,0,0,1,HWH,7
33,11,False,True,0,0,0,1,HWH,2
60,8,True,True,0,0,0,1,HWH,3
60,6,False,False,0,0,0,1,HOH,7
44,8,True,True,0,0,0,1,HWH,1
68,7,False,True,0,0,0,1,H,2
42,8,False,True,0,0,0,1,HWH,3
49,9,True,True,0,0,0,1,HWH,6
31,6,False,True,0,0,0,1,HWH,2
30,7,True,True,0,0,0,1,HWH,5
52,9,True,True,0,0,0,1,HWH,5
63,11,False,True,0,0,0,1,HWOWH,7
29,8,False,True,0,0,0,1,HWH,6
42,9,False,True,0,0,0,1,HWOWH,6
30,7,False,True,0,0,0,1,HWH,3
47,11,False,True,0,0,0,1,HOH,0
74,8,True,True,0,0,0,1,HOH,3
34,10,True,True,0,0,0,1,H,5
70,7,True,True,0,0,0,1,HWH,2
61,11,True,True,0,0,0,1,HWH,1
45,8,True,True,0,0,0,1,HOH,3
65,10,True,True,0,0,0,1,H,3
31,7,True,True,0,0,0,1,HWOH,4
45,8,True,True,0,0,0,1,HWH,3
34,9,False,True,0,0,0,1,HWH,7
41,7,False,True,0,0,0,1,HOH,7
58,1,False,True,0,0,0,1,HWH,6
28,8,True,True,0,0,0,1,HOH,5
48,9,False,True,0,0,0,1,HOH,2
38,6,True,True,0,0,0,1,HWOH,0
54,8,False,True,0,0,0,1,HWH,7
56,11,False,True,0,0,0,1,HWH,5
23,4,True,True,0,0,0,1,HWH,3
42,6,False,True,0,0,0,1,HOH,5
28,9,False,True,0,0,0,1,HWH,0
45,9,False,True,0,0,0,1,HWH,2
49,11,False,True,0,0,0,1,HOH,4
51,7,False,False,0,0,0,1,HWOH,4
36,8,False,True,0,0,0,1,HOH,0
27,5,False,True,0,0,0,1,HWH,1
55,11,True,True,0,0,0,1,HOH,3
73,11,True,True,0,0,0,1,H,1
62,8,True,True,0,0,0,1,H,3
70,5,False,True,0,0,0,1,HOWOH,3
67,7,False,True,0,0,0,1,HOH,4
