age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
54,6,False,False,0,0,1,0,H,3
46,9,True,False,0,0,1,0,HWH,6
67,8,False,False,0,0,1,0,H,2
73,7,True,False,0,0,1,0,H,6
55,8,True,False,0,0,1,0,HWH,4
47,6,True,False,0,0,1,0,HOH,2
59,7,True,False,0,0,1,0,HOH,7
62,8,True,False,0,0,1,0,HWH,3
53,10,True,True,0,0,1,0,HWH,0
53,2,False,False,0,0,1,0,HOH,5
56,6,True,False,0,0,1,0,HWH,5
59,7,True,True,0,0,1,0,HOH,0
59,8,True,False,0,0,1,0,HWH,0
25,5,True,False,0,0,1,0,HOH,0
59,6,True,False,0,0,1,0,H,6
65,11,True,True,0,0,1,0,HWOWH,0
57,10,False,False,0,0,1,0,HWH,1
50,8,True,True,0,0,1,0,HWH,4
56,9,True,True,0,0,1,0,HOH,2
68,11,True,True,0,0,1,0,HWH,4
67,9,True,False,0,0,1,0,HWH,1
21,7,True,False,0,0,1,0,HWH,7
59,7,True,True,0,0,1,0,HOH,0
41,9,True,True,0,0,1,0,H,3
59,10,True,False,0,0,1,0,HWH,1
59,8,True,False,0,0,1,0,HWH,4
34,7,True,False,0,0,1,0,HWH,7
57,4,True,False,0,0,1,0,HWH,4
21,11,True,False,0,0,1,0,HWH,2
42,8,True,False,0,0,1,0,HOH,5
27,8,False,False,0,0,1,0,HOH,0
60,8,True,True,0,0,1,0,HOH,4
58,8,True,False,0,0,1,0,HWH,6
67,8,False,False,0,0,1,0,H,2
51,8,True,False,0,0,1,0,HOH,6
30,10,True,True,0,0,1,0,H,3
58,8,True,False,0,0,1,0,HOH,3
67,3,False,False,0,0,1,0,HWH,3
40,6,True,False,0,0,1,0,HWH,3
53,2,False,False,0,0,1,0,HOH,5
46,9,True,False,0,0,1,0,HWH,1
52,7,False,False,0,0,1,0,HWH,4
57,9,True,False,0,0,1,0,HWH,5
36,1,True,False,0,0,1,0,HWH,3
47,2,True,False,0,0,1,0,HWH,6
58,9,True,False,0,0,1,0,HWH,2
50,8,True,False,0,0,1,0,H,5
56,8,True,True,0,0,1,0,H,0
58,10,True,False,0,0,1,0,HWH,1
39,6,True,False,0,0,1,0,HWOWH,7
