age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
30,11,False,True,0,0,0,1,HWH,0
55,11,False,True,0,0,0,1,HOH,3
35,10,True,True,0,0,0,1,HWH,0
62,8,True,True,0,0,0,1,HWH,1
35,11,False,True,0,0,0,1,HWH,6
42,7,True,False,0,0,0,1,HWH,1
67,7,False,True,0,0,0,1,HOH,3
42,4,True,True,0,0,0,1,HWOH,0
48,9,False,True,0,0,0,1,HOH,6
64,11,True,True,0,0,0,1,HWH,1
49,11,True,True,0,0,0,1,HOH,2
40,6,False,True,0,0,0,1,HWH,6
60,6,True,True,0,0,0,1,H,7
23,6,False,True,0,0,0,1,HOH,0
31,10,True,True,0,0,0,1,H,6
63,9,True,True,0,0,0,1,HWH,6
23,2,False,True,0,0,0,1,H,4
66,8,False,True,0,0,0,1,HOH,7
56,11,False,True,0,0,0,1,HOH,1
63,9,True,True,0,0,0,1,HWH,6
27,8,False,True,0,0,0,1,HWH,5
55,3,True,True,0,0,0,1,H,7
35,8,True,True,0,0,0,1,HWH,6
55,10,False,True,0,0,0,1,HWH,7
68,11,True,True,0,0,0,1,HWH,2
25,6,False,False,0,0,0,1,HOH,1
67,11,True,True,0,0,0,1,HWH,4
48,2,True,True,0,0,0,1,HWH,3
58,9,False,True,0,0,0,1,H,5
56,11,False,True,0,0,0,1,HOH,1
49,11,True,True,0,0,0,1,HWH,0
38,6,True,True,0,0,0,1,HWOH,3
29,6,False,True,0,0,0,1,HWH,3
54,6,False,True,0,0,0,1,HOH,0
65,5,False,True,0,0,0,1,HWH,3
30,6,True,True,0,0,0,1,H,3
34,4,False,True,0,0,0,1,HOH,3
34,7,True,False,0,0,0,1,HWH,1
55,6,False,False,0,0,0,1,HWH,4
39,7,True,False,0,0,0,1,HWH,0
59,10,True,True,0,0,0,1,HOH,2
54,10,True,True,0,0,0,1,H,1
23,6,False,True,0,0,0,1,HOH,6
29,10,False,True,0,0,0,1,HOH,5
67,7,False,True,0,0,0,1,HOH,3
63,10,False,True,0,0,0,1,H,6
33,11,False,True,0,0,0,1,HWH,5
48,9,True,True,0,0,0,1,HOH,5
27,7,False,True,0,0,0,1,HWOH,0
70,5,False,True,0,0,0,1,HOWOH,3
