age,bachelor_degree,hh_income,home_GEOID,home_geo_index,main_mode,male,motif,pop_per_sqmile_home,work_GEOID,work_geo_index
29,1,7,250092066001,379,3,1,HOH,3000,250092021013,1137
60,0,7,250173501044,549,0,1,HWH,1500,250250702003,856
50,0,1,250251006031,893,0,1,H,1500,250250106001,437
21,0,4,250235012012,899,0,0,HWH,17000,250250303003,565
51,0,7,250250808012,99,0,0,HWOH,300,250250711013,77
66,1,3,250173395004,1253,0,0,HOH,17000,250173383003,1231
53,1,8,250251301004,1351,0,1,HOH,3000,250173704006,438
49,1,6,250173396003,516,3,0,HWH,17000,250173524002,202
53,1,11,250214193003,929,-99,1,H,17000,250259813002,1460
48,1,9,250250408012,595,-99,1,HOH,750,250173504002,584
73,1,4,250173371022,62,0,1,HWOWH,7000,250250701018,854
40,1,10,250251802004,1443,0,1,HOH,7000,250214180043,1594
21,0,8,250251008006,904,0,0,HWH,300,250250104052,429
33,1,7,250173361005,23,0,1,HWH,1500,250173393003,1247
28,1,8,250250105003,435,0,1,HOH,300,250173537004,257
64,1,6,250173514032,817,0,0,HWOWH,17000,250250820001,1052
29,1,8,250173509001,685,3,0,HWH,17000,250250701018,854
30,1,6,250235011023,171,0,1,H,7000,250251606011,1466
70,0,7,250251802001,1187,0,1,HWH,3000,250214180031,1592
26,1,6,250250712011,79,3,0,HWH,17000,250173335013,1583
38,1,11,250251201041,1039,0,0,HWOWH,1500,250250701018,854
70,0,7,250214178021,638,0,1,HWH,3000,250173424004,1539
44,1,9,250173363001,36,0,1,HOH,1500,250250701018,854
32,1,9,250250913002,325,3,0,HWH,17000,250250806013,1038
27,0,5,250173363002,650,0,1,HWOH,750,250092084004,1476
27,1,10,250250809001,1040,0,1,HOH,7000,250259812021,1458
20,0,7,250173335021,1584,0,1,HWH,3000,250173336003,1586
33,1,6,250092082004,1470,0,0,HWH,17000,250259812021,1458
43,1,7,250173739001,546,0,0,HOH,1500,250173524002,202
53,1,10,250173423002,1535,-99,0,H,300,250250811001,111
32,1,11,250250403002,581,3,1,HWH,30000,250250701018,854
41,1,9,250173689021,774,0,1,HOH,7000,250250806011,93
53,1,11,250173372013,66,0,1,HOH,3000,250173383002,1230
47,1,9,250251605023,1177,0,0,HWH,750,250251707025,1434
16,0,7,250173425001,1540,2,1,H,1500,250250701018,854
45,1,8,250250903001,264,0,1,HOH,300,250251204003,1341
74,1,11,250250906001,274,-99,1,HWH,300,250250511011,731
29,1,3,250173422012,1532,3,0,HOH,17000,250250701011,847
58,1,9,250214011003,41,0,0,HOH,1500,250214007001,960
27,1,8,250250101043,1331,0,0,HWH,1500,250173531022,219
17,0,9,250251006014,892,0,1,HOH,7000,250250102034,1334
20,0,6,250214227001,937,0,0,HOH,7000,250251604001,1395
29,1,6,250173396001,1254,0,0,HWH,7000,250250008032,1327
30,1,7,250092071001,249,0,1,HWH,7000,250173523002,822
26,1,8,250250104031,1080,0,0,HWH,750,250250103002,1079
48,1,9,250173735003,464,-99,1,HOH,750,250250701012,849
26,1,8,250250511014,737,0,1,HWH,1500,250250203032,553
51,1,7,250173681011,768,0,0,H,750,250214009002,32
42,0,7,250251404006,1386,0,1,HWH,300,250173533003,229
64,1,1,250173512034,705,0,0,H,1500,250173523002,822
55,1,10,250173546003,838,0,0,HWH,1500,250250606001,758
30,1,11,250250507002,713,0,0,HWH,1500,250250703001,857
29,1,3,250250002013,955,3,0,HOH,17000,250250703001,857
63,1,6,250173524002,202,0,0,HWOH,750,250173515001,732
33,1,9,250173742003,564,0,1,HOWOH,30000,250173531011,216
40,1,8,250173372021,68,0,1,HOH,300,250173521021,738
46,1,10,250251009005,908,-99,0,HOH,1500,250173509001,685
34,1,9,250173525002,204,0,0,HOH,7000,250173736002,788
29,1,10,250250005044,1308,1,0,HOH,17000,250250707001,1026
26,1,6,250251002003,417,0,0,HWH,7000,250250106001,437
33,0,5,250251007001,1126,0,1,HWH,300,250250106001,437
36,0,9,250092067001,381,0,0,H,7000,250250810011,105
73,1,10,250173364022,52,3,0,HWH,300,250173413002,1301
41,1,9,250214176022,620,0,0,HOH,7000,250250701012,849
37,0,8,250214123002,846,0,1,HWH,300,250173587001,170
26,1,6,250173400001,1283,3,0,HWH,17000,250250806011,93
38,1,10,250173515002,820,0,0,HOH,750,250250008032,1327
58,1,8,250173701014,398,0,0,HWH,3000,250173703002,422
78,0,8,250173536002,242,-99,1,HWH,1500,250173537004,257
32,1,10,250250810012,107,0,1,HWH,1500,250250806013,1038
23,0,10,250173510004,695,0,1,HOH,300,250173524002,202
49,1,10,250251708001,1435,0,0,HWH,3000,250250106001,437
68,1,11,250214228001,940,0,1,HWH,750,250250907004,278
53,1,11,250173505002,592,0,1,HOH,3000,250173524002,202
57,1,10,250214179021,644,0,1,HWH,1500,250214180031,1592
51,1,10,250251401071,1375,0,0,HWH,750,250250606001,758
41,1,8,250250708003,1030,3,0,HWH,3000,250250303002,563
40,1,5,250092064002,1259,0,0,HWH,3000,250092069003,1478
59,1,8,250173742003,564,0,1,HOH,1500,250173736002,788
62,0,7,250251303001,1358,0,0,HWH,1500,250251104033,1142
49,1,6,250251106072,1033,-99,1,H,17000,250250107023,447
63,1,9,250173372021,68,0,0,H,1500,250250303003,565
47,1,9,250214225022,922,0,1,H,750,250250303003,565
18,0,3,250173506001,803,2,1,HWH,7000,250173504004,586
31,1,10,250214021021,55,0,1,HOH,3000,250250810011,105
64,0,2,250251304024,1364,0,1,HOH,3000,250250703001,857
50,1,1,250250916002,1065,0,0,HOH,3000,250259815021,1193
50,1,11,250214172002,499,3,1,HWH,3000,250173372023,72
59,1,6,250173395004,1253,-99,1,HOH,300,250250404011,587
49,1,11,250092011001,1130,3,1,HOH,17000,250250702003,856
53,1,10,250173510003,693,-99,0,H,300,250250703001,857
36,0,9,250173539003,290,0,0,H,7000,250250707001,1026
41,1,8,250173507001,598,1,1,HWH,30000,250173324001,1567
26,1,8,250250505001,613,0,1,HWH,1500,250250606001,758
48,1,11,250173398022,1278,0,0,HWH,300,250250006023,1313
43,0,4,250251803013,1445,0,0,H,750,250250303002,563
43,1,11,250214001003,176,1,0,HWH,30000,250250701012,849
29,1,7,250250301001,1091,0,0,HOH,3000,250250703001,857
21,0,3,250250005032,1305,2,0,HWH,7000,250173703002,422
40,0,10,250251707025,1434,-99,0,H,1500,250251706013,1429
34,0,7,250251302005,1357,0,1,HWH,3000,250214041001,205
54,0,8,250173504003,802,0,0,H,1500,250173512041,706
45,1,10,250251401051,1372,0,0,HOH,7000,250259813002,1460
