age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
33,4,True,False,1,0,0,0,HOH,1
31,7,False,True,1,0,0,0,HOH,3
47,10,False,True,1,0,0,0,H,5
66,7,True,False,1,0,0,0,HWH,6
26,5,True,False,1,0,0,0,HWH,4
69,6,True,False,1,0,0,0,HWH,3
16,10,False,False,1,0,0,0,HOH,5
59,3,False,False,1,0,0,0,HOH,0
48,2,False,False,1,0,0,0,HWH,5
28,7,False,True,1,0,0,0,HWH,6
16,5,True,False,1,0,0,0,HOH,7
28,8,True,False,1,0,0,0,HOH,0
57,8,True,True,1,0,0,0,HOH,0
44,6,False,True,1,0,0,0,H,6
19,2,True,False,1,0,0,0,HOH,5
18,10,True,False,1,0,0,0,H,7
66,4,False,False,1,0,0,0,HWH,6
33,4,True,False,1,0,0,0,H,7
16,10,False,False,1,0,0,0,HOH,7
54,8,False,True,1,0,0,0,HOH,1
69,6,True,False,1,0,0,0,HWH,3
18,9,True,False,1,0,0,0,H,0
64,5,True,False,1,0,0,0,H,0
43,9,True,True,1,0,0,0,HWH,4
49,3,False,False,1,0,0,0,HWH,2
17,9,True,False,1,0,0,0,HOH,7
63,5,False,False,1,0,0,0,HWH,4
26,8,False,True,1,0,0,0,HOH,7
49,8,True,True,1,0,0,0,HOH,3
23,3,False,False,1,0,0,0,HWH,0
32,10,False,True,1,0,0,0,HWH,2
17,9,True,False,1,0,0,0,HOH,7
19,7,False,False,1,0,0,0,HWH,1
30,7,False,False,1,0,0,0,H,6
35,8,False,False,1,0,0,0,HWH,0
31,7,False,True,1,0,0,0,HOH,3
32,4,True,True,1,0,0,0,HWH,6
72,5,False,False,1,0,0,0,HWH,7
61,1,True,True,1,0,0,0,HWH,1
66,7,True,False,1,0,0,0,HWH,6
70,7,True,True,1,0,0,0,HOH,7
42,7,True,False,1,0,0,0,HWH,1
67,1,True,False,1,0,0,0,HOH,5
19,2,True,False,1,0,0,0,HOH,5
49,3,False,False,1,0,0,0,HWH,2
19,8,True,False,1,0,0,0,HOH,6
57,6,True,False,1,0,0,0,HOH,1
59,6,False,False,1,0,0,0,HOH,0
66,7,True,False,1,0,0,0,HWH,6
34,11,True,False,1,0,0,0,HOH,1
