age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
53,5,True,True,0,1,0,0,H,6
48,5,False,False,0,1,0,0,HWH,4
51,11,True,True,0,1,0,0,HWH,1
46,7,False,False,0,1,0,0,HWH,6
23,8,True,False,0,1,0,0,HWH,5
59,11,False,True,0,1,0,0,HOH,3
25,8,False,True,0,1,0,0,HWH,6
51,5,False,False,0,1,0,0,HWH,6
68,6,False,False,0,1,0,0,HWOH,3
56,7,False,True,0,1,0,0,HWH,2
28,1,False,False,0,1,0,0,HWH,5
57,10,False,True,0,1,0,0,HOH,2
57,11,False,True,0,1,0,0,HWH,4
35,7,True,False,0,1,0,0,HWH,0
31,6,False,False,0,1,0,0,H,0
22,4,False,False,0,1,0,0,H,0
49,6,True,True,0,1,0,0,HOH,5
50,4,False,False,0,1,0,0,HWH,7
43,6,False,True,0,1,0,0,H,5
51,11,True,True,0,1,0,0,HWH,1
60,4,False,False,0,1,0,0,HOH,3
58,9,False,False,0,1,0,0,HOH,6
65,5,False,True,0,1,0,0,HOH,4
45,6,False,True,0,1,0,0,H,4
64,9,False,False,0,1,0,0,H,2
24,10,True,False,0,1,0,0,H,4
62,9,False,True,0,1,0,0,HOWOH,3
61,4,False,False,0,1,0,0,HWH,0
28,7,False,False,0,1,0,0,HOH,4
24,8,True,False,0,1,0,0,HWH,5
61,8,False,True,0,1,0,0,HWOH,3
53,11,False,True,0,1,0,0,HWH,5
48,8,False,False,0,1,0,0,H,1
60,10,False,False,0,1,0,0,HOH,0
39,11,False,True,0,1,0,0,HWH,1
27,6,False,True,0,1,0,0,HOH,5
52,10,False,False,0,1,0,0,HWH,6
59,11,True,True,0,1,0,0,HWH,2
67,7,True,True,0,1,0,0,HOH,1
66,10,False,True,0,1,0,0,HOH,4
35,10,False,True,0,1,0,0,HOH,4
55,6,False,False,0,1,0,0,HWH,6
54,8,False,True,0,1,0,0,HOH,2
65,7,True,True,0,1,0,0,HWH,0
60,10,True,True,0,1,0,0,HWH,3
46,11,False,False,0,1,0,0,HWH,5
46,10,True,False,0,1,0,0,HWH,4
35,10,False,True,0,1,0,0,HOH,3
59,9,False,True,0,1,0,0,HOH,3
59,3,False,False,0,1,0,0,H,1
