age,bachelor_degree,hh_income,home_GEOID,home_geo_index,main_mode,male,motif,pop_per_sqmile_home,work_GEOID,work_geo_index
71,0,5,360610117001,2,0,1,HWH,7000,360610027001,707
74,1,6,360050431002,210,-99,1,HOH,7000,360050237021,538
46,0,10,360470077003,1411,0,1,HWH,1500,360470069002,760
19,0,8,360610155006,1082,0,1,HWH,300,360610108007,1860
48,0,8,360610145002,1474,3,1,HWH,30000,360610119001,8
31,1,8,360470077002,763,3,0,HOH,17000,360610119001,8
51,1,11,360610223013,1690,3,0,HOH,17000,360610007001,1240
30,1,9,360050237031,539,2,1,HWOH,17000,360050422002,437
52,1,10,360470037001,724,0,1,HWH,1500,360610015013,679
63,1,10,360610047002,1019,0,1,HOH,3000,360610095001,1398
52,0,10,360610161005,1113,0,0,HWH,300,360610102001,1126
55,0,8,360610225004,1706,0,0,HWH,1500,360610082001,987
69,1,10,360610106015,2038,3,0,HOH,7000,360610096001,378
23,1,11,360610223013,1690,0,0,H,300,360610087001,1000
46,0,5,360810001001,1088,0,1,HOH,1500,360610101001,2032
56,1,11,360050245012,595,3,1,HWH,17000,360610222002,1687
39,0,10,360050307013,317,-99,0,HWH,300,360610007001,1240
26,1,6,360610033001,899,0,1,HWH,750,360610049001,1286
26,1,5,360470059001,1836,0,1,HWH,3000,360610052001,1030
31,1,9,360610309003,645,2,0,HOH,30000,360610137005,1876
22,1,10,360610010021,505,0,0,HWH,750,360610054001,1032
23,1,11,360050361002,839,-99,1,H,3000,360610109001,2047
30,0,9,360470045002,1989,0,1,HWH,1500,360610124007,92
27,1,6,360610026012,1262,0,1,HWOWH,300,360610043003,930
33,0,10,360050237033,540,0,1,H,3000,360050177013,1747
46,1,11,360610081002,984,0,0,H,300,360610074003,270
55,0,8,360610015021,680,0,0,HWOH,7000,360610076001,278
52,0,8,360610119002,9,0,0,H,3000,360610092001,370
25,0,8,360610094001,376,0,1,H,17000,360610094001,376
61,0,6,360610077004,1355,-99,1,HWH,300,360610129001,117
57,0,5,360470075005,1405,3,0,H,30000,360610062001,1051
43,1,8,360050223004,1824,0,0,HWH,300,360610253002,614
31,0,5,360050351002,836,0,1,HOH,3000,360610082001,987
25,1,10,360610038001,1273,0,0,HWH,1500,360610082001,987
53,1,11,360610138009,1465,0,0,HWH,3000,360610094001,376
57,1,11,360610133004,135,3,0,H,30000,360610122004,1170
49,0,10,360050403033,2002,0,0,HOH,1500,360610251001,428
60,0,2,360050039002,1850,3,0,HOH,1500,360050421001,433
52,1,10,360470021001,1982,3,0,HWH,7000,360610094001,376
33,1,9,360610066008,222,-99,0,HOH,750,360610092001,370
23,1,6,360610132001,125,3,0,HWH,30000,360610113001,2057
40,1,9,360610210002,1654,0,1,HOH,3000,360810001001,1088
55,1,8,360610064001,1307,0,1,HWH,1500,360610091001,1015
35,1,5,360050189004,1899,-99,0,HOH,1500,360610111001,2052
24,1,8,360610050004,1029,3,0,HWH,17000,360610131001,121
46,1,10,360610212001,1662,3,0,HOH,750,360470009001,1963
52,0,8,360610221021,1630,-99,1,HOH,3000,360610013002,1245
28,1,7,360050251005,604,3,0,HOH,30000,360610180002,1330
31,1,9,360610229001,1715,0,1,HOH,3000,360610021001,1257
21,1,5,360610235012,1646,0,0,HOH,750,360610115001,1150
54,0,1,361190002023,453,0,1,HWH,300,360810033002,1970
34,0,6,360610149001,821,3,1,H,30000,360610092001,370
53,1,11,360050413004,194,0,1,HWH,7000,360050065001,54
48,0,6,360610087004,1002,0,1,HWH,17000,360610145004,795
54,0,9,360050131002,160,-99,1,H,750,360810033001,1145
43,1,10,360610186003,1375,0,1,HWH,1500,360610095002,377
54,1,11,360610144024,787,0,0,HOH,7000,360610096001,378
46,0,3,360610072003,254,3,1,HWH,30000,360610109001,2047
25,1,10,360050406002,2014,-99,0,HWH,30000,360050380004,884
50,0,8,360610146025,807,0,1,HWH,1500,360610108007,1860
55,0,6,360610148012,1479,0,1,HOH,750,360610069001,238
35,1,10,360610033001,899,3,1,HOH,7000,360610092001,370
52,0,2,360610026022,705,0,0,H,7000,360610104001,2034
41,0,5,360610028004,712,0,1,HWH,7000,360610057001,1039
42,1,3,360610014011,511,3,0,HWH,30000,360610166002,1139
26,0,6,360610044008,937,0,1,HWH,300,360610098003,1402
25,1,11,360610153001,1487,0,1,HWH,300,360610113001,2057
41,1,10,360050379004,881,0,0,HWH,17000,360610114022,2060
49,1,8,360050053001,26,0,0,HOH,300,360610182003,1585
40,1,11,360610136005,1217,0,0,HWOH,30000,360610136006,853
59,1,11,360050383021,892,0,0,HWH,17000,360050061001,124
66,1,9,360610134005,140,0,0,HOH,750,360610009001,1243
49,1,8,360610167003,1151,0,1,HWH,750,360610137006,1457
73,0,5,360050363001,340,3,0,H,7000,360610082001,987
47,1,8,360610144013,782,-99,1,HWH,300,360610052001,1030
27,1,10,360610081003,1369,0,0,HOH,7000,360610317032,1692
53,1,8,360610174021,1215,0,1,HWOH,3000,360610076001,278
60,0,10,360610088006,1389,0,1,HOH,7000,360610101001,2032
32,1,10,360610048006,1023,0,1,H,1500,360610096001,378
64,1,11,360610153001,1487,3,0,HWH,7000,360610131002,123
42,0,10,360610132002,126,3,0,HWH,17000,360610083002,990
