id,lon,lat,osm_id,id
30730954,-71.0218168,42.3676084,30730954,0
61151272,-71.0939042,42.3822063,61151272,1
61151274,-71.0933165,42.3818108,61151274,2
61155415,-71.0886976,42.3929603,61155415,3
61155754,-71.0927115,42.3811514,61155754,4
61170312,-71.0921853,42.3870595,61170312,5
61170313,-71.0924876,42.387159,61170313,6
61170320,-71.0814075,42.3870508,61170320,7
61170342,-71.116705,42.3872153,61170342,8
61170349,-71.1154222,42.3879485,61170349,9
61170350,-71.1204735,42.3956994,61170350,10
61170353,-71.121425,42.3946953,61170353,11
61170355,-71.102708,42.39519,61170355,12
61170357,-71.102278,42.394691,61170357,13
61170363,-71.101152,42.396319,61170363,14
61170385,-71.122503,42.394908,61170385,15
61170387,-71.121863,42.395333,61170387,16
61170393,-71.0881886,42.3949515,61170393,17
61170395,-71.1186097,42.3948947,61170395,18
61170397,-71.1161927,42.3938475,61170397,19
61170398,-71.1168199,42.394127,61170398,20
61170401,-71.0830303,42.3926201,61170401,21
61170420,-71.1148882,42.3932906,61170420,22
61170424,-71.1151463,42.3927891,61170424,23
61170428,-71.117194,42.3935677,61170428,24
61170429,-71.1176684,42.3928963,61170429,25
61170430,-71.117419,42.3932371,61170430,26
61170431,-71.098301,42.39281,61170431,27
61170432,-71.1183396,42.393159,61170432,28
61170444,-71.1140032,42.3929048,61170444,29
61170447,-71.101838,42.3941,61170447,30
61170457,-71.1196498,42.3936898,61170457,31
61170470,-71.1155532,42.3935716,61170470,32
61170474,-71.1206159,42.3940826,61170474,33
61170514,-71.1183141,42.3909083,61170514,34
61170518,-71.097546,42.393791,61170518,35
61170519,-71.120884,42.3938254,61170519,36
61170521,-71.1213471,42.3945747,61170521,37
61170531,-71.1157452,42.3918489,61170531,38
61170533,-71.1163277,42.3921685,61170533,39
61170539,-71.0993998,42.3913346,61170539,40
61170541,-71.098957,42.390889,61170541,41
61170542,-71.1169518,42.3925086,61170542,42
61170544,-71.1116462,42.3918661,61170544,43
61170553,-71.099999,42.391894,61170553,44
61170554,-71.100573,42.392478,61170554,45
61170557,-71.1193798,42.391868,61170557,46
61170560,-71.1154439,42.392316,61170560,47
61170562,-71.1124033,42.3922179,61170562,48
61170563,-71.1198002,42.3923228,61170563,49
61170583,-71.0862116,42.3905789,61170583,50
61170585,-71.1111464,42.3898947,61170585,51
61170590,-71.0874024,42.3894273,61170590,52
61170593,-71.110202,42.3912169,61170593,53
61170594,-71.1094169,42.390863,61170594,54
61170595,-71.1131575,42.392542,61170595,55
61170596,-71.098557,42.392441,61170596,56
61170597,-71.097381,42.392005,61170597,57
61170617,-71.1072794,42.3899023,61170617,58
61170618,-71.1067968,42.3896838,61170618,59
61170621,-71.098482,42.390421,61170621,60
61170622,-71.1113563,42.3895934,61170622,61
61170625,-71.1141982,42.390882,61170625,62
61170633,-71.0902257,42.3907729,61170633,63
61170638,-71.1149804,42.3914288,61170638,64
61170643,-71.0968702,42.386205,61170643,65
61170644,-71.0978022,42.386528,61170644,66
61170649,-71.1136165,42.3904807,61170649,67
61170657,-71.100021,42.390491,61170657,68
61170660,-71.1108962,42.3915355,61170660,69
61170665,-71.1146338,42.3870439,61170665,70
61170669,-71.1059664,42.3879584,61170669,71
61170671,-71.106357,42.3873858,61170671,72
61170673,-71.1128956,42.3873841,61170673,73
61170675,-71.082369,42.386065,61170675,74
61170676,-71.1126128,42.3877899,61170676,75
61170691,-71.0830039,42.3862333,61170691,76
61170701,-71.0919983,42.3870031,61170701,77
61170707,-71.1050985,42.3860437,61170707,78
61170722,-71.104319,42.3857576,61170722,79
61170732,-71.1036539,42.3855335,61170732,80
61170738,-71.115206,42.385428,61170738,81
61170751,-71.1023859,42.3850863,61170751,82
61170761,-71.085432,42.384944,61170761,83
61170766,-71.102992,42.3853032,61170766,84
61170769,-71.087035,42.385445,61170769,85
61170799,-71.0960613,42.385892,61170799,86
61170802,-71.102723,42.383621,61170802,87
61170835,-71.113665,42.384196,61170835,88
61170837,-71.113076,42.383724,61170837,89
61170875,-71.1138132,42.3860922,61170875,90
61170882,-71.0927809,42.3848506,61170882,91
61170890,-71.084212,42.384563,61170890,92
61170908,-71.082681,42.384143,61170908,93
61170914,-71.0980999,42.3819517,61170914,94
61170915,-71.0983316,42.3822043,61170915,95
61170916,-71.0819487,42.3819704,61170916,96
61170924,-71.083072,42.381777,61170924,97
61170931,-71.0823551,42.3819025,61170931,98
61170932,-71.113587,42.3834,61170932,99
61170944,-71.114123,42.384565,61170944,100
61170946,-71.0935001,42.3848835,61170946,101
61170948,-71.092648,42.3845473,61170948,102
61170954,-71.1126369,42.3833653,61170954,103
61170956,-71.099342,42.3832651,61170956,104
61170957,-71.1124126,42.3831822,61170957,105
61170960,-71.0990906,42.3830027,61170960,106
61170975,-71.0815273,42.3820397,61170975,107
61170986,-71.1044896,42.3800943,61170986,108
61170988,-71.1045977,42.3804136,61170988,109
61170993,-71.097739,42.380487,61170993,110
61170994,-71.1001239,42.379366,61170994,111
61170995,-71.096112,42.37869,61170995,112
61170997,-71.096387,42.379635,61170997,113
61170998,-71.0972533,42.3795466,61170998,114
61171011,-71.086913,42.3836734,61171011,115
61171038,-71.1025099,42.3751176,61171038,116
61171042,-71.1017455,42.375644,61171042,117
61171059,-71.0892156,42.377256,61171059,118
61171064,-71.1015766,42.3757527,61171064,119
61171065,-71.0995152,42.3765386,61171065,120
61171071,-71.0970052,42.3801863,61171071,121
61171075,-71.109095,42.380496,61171075,122
61171088,-71.0991637,42.3810566,61171088,123
61171091,-71.109572,42.380889,61171091,124
61171094,-71.0998043,42.3812437,61171094,125
61171110,-71.092589,42.378536,61171110,126
61171112,-71.1040534,42.3788395,61171112,127
61171113,-71.0930989,42.3787184,61171113,128
61171114,-71.082264,42.3872989,61171114,129
61171117,-71.0894318,42.3749507,61171117,130
61171121,-71.0816694,42.387124,61171121,131
61171122,-71.0801502,42.3866839,61171122,132
61171136,-71.1161581,42.386904,61171136,133
61171138,-71.104396,42.397361,61171138,134
61171139,-71.09623,42.37606,61171139,135
61171140,-71.0998739,42.3764973,61171140,136
61171145,-71.1043605,42.3766261,61171145,137
61171170,-71.1049509,42.3771247,61171170,138
61171187,-71.0958654,42.3778658,61171187,139
61171202,-71.0886,42.380671,61171202,140
61171205,-71.091043,42.377988,61171205,141
61171206,-71.1063731,42.3782853,61171206,142
61171207,-71.0914133,42.3796298,61171207,143
61171208,-71.1071915,42.3789507,61171208,144
61171234,-71.0987204,42.3868404,61171234,145
61171235,-71.104343,42.3808503,61171235,146
61171238,-71.1010568,42.3876268,61171238,147
61171240,-71.1019012,42.3879128,61171240,148
61171242,-71.1177573,42.3945236,61171242,149
61171349,-71.130333,42.405231,61171349,150
61171350,-71.130178,42.405117,61171350,151
61171355,-71.0842658,42.3976391,61171355,152
61171356,-71.0841329,42.3980323,61171356,153
61171357,-71.090653,42.379881,61171357,154
61171367,-71.0893181,42.3800586,61171367,155
61171375,-71.1248238,42.4069869,61171375,156
61171385,-71.1249179,42.4068535,61171385,157
61171398,-71.10424,42.3810181,61171398,158
61171434,-71.1188059,42.3913281,61171434,159
61171443,-71.097925,42.393299,61171443,160
61171446,-71.100864,42.389319,61171446,161
61171447,-71.1009534,42.3891925,61171447,162
61171454,-71.088937,42.386036,61171454,163
