age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
41,10,True,True,0,0,0,1,HOH,6
36,10,False,False,0,0,0,1,HWH,0
66,7,True,False,1,0,0,0,HWH,3
67,7,False,True,0,0,0,1,HOH,7
41,11,True,True,0,0,0,1,HWH,3
30,11,False,True,0,0,0,1,HWH,7
68,7,False,True,0,0,0,1,H,2
51,6,True,False,0,0,0,1,HOH,1
69,6,True,False,0,0,1,0,HWH,2
69,6,False,False,1,0,0,0,HWH,6
37,6,True,False,1,0,0,0,HWOWH,7
40,10,True,True,0,0,0,1,HOH,6
38,10,False,True,0,0,0,1,HOH,6
52,8,False,True,0,0,0,1,HWH,5
41,7,False,True,0,0,0,1,HOH,5
31,8,False,True,0,0,0,1,H,7
29,8,True,True,0,0,0,1,H,3
63,8,False,False,0,1,0,0,H,4
49,7,False,True,0,1,0,0,HWH,3
51,7,True,False,0,0,0,1,HWH,4
43,5,False,True,0,0,0,1,HWH,5
48,11,False,True,0,0,0,1,HOH,1
49,11,True,True,0,0,0,1,HOH,2
44,6,False,True,1,0,0,0,H,5
51,6,True,True,0,0,0,1,HOH,0
43,4,False,False,0,0,0,1,H,2
47,4,True,False,0,0,1,0,H,6
33,11,False,True,0,0,0,1,HWH,0
32,11,True,True,0,0,0,1,HWH,4
70,5,False,True,0,0,0,1,HOWOH,5
45,10,False,True,0,0,0,1,HOH,5
44,10,True,True,0,0,0,1,HWH,1
58,11,False,True,0,0,0,1,HWH,6
43,11,True,True,0,0,0,1,HWH,2
66,8,True,True,0,0,0,1,HWH,7
58,8,False,True,0,0,0,1,HWH,0
30,8,False,True,0,0,0,1,HWH,2
63,11,True,True,0,0,0,1,HOH,2
44,8,False,True,0,0,0,1,HWH,1
45,8,True,True,0,0,0,1,HWH,0
70,8,True,False,0,0,0,1,HWH,0
69,8,False,False,0,0,0,1,HWH,1
42,5,False,False,0,1,0,0,HWH,5
60,5,False,True,0,0,0,1,HOH,2
37,8,True,True,0,0,0,1,HWH,2
32,9,False,True,1,0,0,0,HWH,1
33,9,True,True,0,0,0,1,HWH,5
54,9,False,True,0,0,0,1,HWH,6
25,6,True,False,0,0,1,0,HWH,6
69,6,False,True,0,0,0,1,HWH,2
24,11,True,True,0,0,0,1,HWH,2
25,11,True,True,0,0,0,1,HWH,5
39,2,False,False,1,0,0,0,H,2
44,7,False,True,1,0,0,0,H,1
16,7,True,False,1,0,0,0,H,7
29,8,True,True,0,0,1,0,HWH,0
26,8,False,True,0,0,0,1,HWH,5
61,6,False,True,0,0,0,1,HOH,1
35,6,False,True,0,0,0,1,HWH,5
29,6,True,False,0,0,1,0,H,7
40,8,True,True,0,0,0,1,HOH,3
43,8,False,True,0,0,0,1,HWH,2
64,9,True,True,0,0,0,1,HWH,1
26,8,True,True,0,0,0,1,HWH,1
26,8,False,True,0,0,0,1,HWH,2
58,9,False,True,0,0,0,1,HOH,1
21,3,False,False,1,0,0,0,HWH,4
48,3,True,False,1,0,0,0,HWH,4
59,3,False,False,1,0,0,0,HOH,7
56,5,True,False,0,0,1,0,HOH,5
29,8,False,True,0,0,0,1,HWH,1
46,6,False,True,1,0,0,0,HWH,3
28,1,False,True,0,0,0,1,HOWOH,1
32,6,False,True,0,0,0,1,HOWOH,0
29,5,True,True,0,1,0,0,HOH,7
27,5,False,True,0,0,0,1,HWH,2
52,4,False,False,0,1,0,0,HWH,5
28,2,False,True,0,0,1,0,HWH,2
31,2,True,True,0,0,1,0,HWH,6
54,5,True,False,1,0,0,0,H,5
46,4,True,True,0,0,0,1,HOH,7
74,7,True,True,0,0,0,1,H,5
43,8,True,True,0,0,0,1,HWH,1
49,11,True,True,0,0,0,1,HWH,5
46,11,False,True,0,0,1,0,HOH,5
19,11,True,False,1,0,0,0,HWH,1
