age,bachelor_degree,hh_income,home_GEOID,home_geo_index,main_mode,male,motif,pop_per_sqmile_home,work_GEOID,work_geo_index
44,1,8,250173563005,720,0,1,HWH,30000,250173529001,213
27,1,10,250250815002,15,0,1,HOH,7000,250259813002,523
59,0,6,250250813003,152,0,1,HWH,3000,250250810011,130
44,1,7,250173419026,589,-99,1,H,1500,250173419026,589
25,0,7,250214010001,37,0,1,HWH,750,250250813003,152
63,1,6,250251104011,135,0,0,HWOH,750,250214007002,915
43,1,9,250173514031,751,3,0,HWH,3000,250250711013,91
37,0,6,250250820002,251,0,1,HWH,300,250259813002,523
54,1,10,250173422011,601,0,0,HOH,300,250173424003,609
23,1,8,250250004014,937,-99,1,HWH,30000,250173703002,510
35,1,8,250251103012,950,0,1,HWH,1500,250251001001,486
37,0,5,250173536005,270,0,0,HOH,7000,250250203011,565
31,1,7,250173507006,728,0,0,HWH,7000,250250303003,671
17,0,9,250251701002,451,0,1,HOH,7000,250250711013,91
31,1,10,250251003004,110,-99,1,H,7000,250250103002,61
48,1,9,250251708001,479,0,0,HOH,3000,250259813002,523
27,0,3,250251707024,476,-99,0,HOH,7000,250173418004,575
36,0,9,250173532001,233,0,0,H,1500,250250810011,130
58,1,11,250250006012,324,3,0,HWH,17000,250250004014,937
66,1,7,250173391004,211,0,1,HOH,750,250173411024,296
70,0,7,250250003013,934,0,1,HWH,3000,250251604001,436
49,1,6,250251008004,884,-99,1,H,17000,250250801001,97
49,0,3,250250006022,330,0,0,HWH,7000,250214008003,31
18,0,9,250250005042,318,0,1,H,1500,250173531022,229
29,1,5,250173549002,847,0,0,HOH,7000,250173523002,827
29,1,7,250250918001,412,3,1,HOH,3000,250250817002,160
19,0,2,250173426001,661,0,1,HOH,7000,250250107021,542
70,1,5,250250108023,548,0,1,HWH,3000,250250810011,130
48,0,3,250251005002,870,0,0,HOH,17000,250250303003,671
37,0,6,250250708001,370,0,1,HWH,300,250250810011,130
73,1,11,250250510003,85,0,0,HWH,300,250250101031,954
38,0,4,250173418004,575,0,0,H,1500,250214172001,597
30,1,6,250250911005,399,2,1,HWH,17000,250250303004,74
40,1,5,250250921013,422,0,0,HWH,3000,250250701018,856
33,1,7,250251801013,489,0,1,HOH,3000,250250711013,91
28,1,9,250250510002,762,0,0,H,7000,250173413003,643
19,0,7,250250305002,674,0,0,HWH,3000,250250703001,859
36,0,7,250173400001,277,0,1,HWH,1500,250251702002,177
60,0,8,250250923004,442,0,1,H,750,250250108012,545
61,1,10,250214005001,199,0,0,HOH,300,250250008032,354
38,1,11,250250006023,332,3,1,HOH,30000,250250006023,332
48,1,11,250173395002,234,3,0,HOH,17000,250173391001,207
29,1,8,250250919001,636,0,1,H,7000,250250701011,851
54,1,10,250173505002,692,0,1,HOH,300,250173513001,747
29,1,8,250251007003,879,0,1,H,7000,250250102034,368
50,0,5,250250605012,93,-99,1,HOH,750,250173413002,309
46,1,6,250214175012,708,-99,0,HWH,300,250250701013,99
22,1,1,250250712011,94,0,1,H,300,250250106002,538
48,0,8,250250606001,790,0,1,HOH,750,250250701011,851
38,1,6,250173399001,271,0,0,H,300,250250701018,856
45,0,6,250251202011,144,0,0,HWH,7000,250250701018,856
27,1,7,250173514043,761,0,0,HWOH,1500,250173537004,285
34,0,7,250173549002,847,2,1,HWH,300,250250809003,128
29,1,5,250250507001,750,0,0,HOH,7000,250250303003,671
45,1,9,250250005042,318,0,0,HWH,7000,250173531012,831
29,1,8,250250809003,128,0,1,HWH,750,250173736002,805
32,1,8,250250707001,961,0,0,HWH,7000,250250810011,130
44,1,6,250250108022,69,0,0,H,3000,250250001001,902
34,1,9,250173525002,204,0,0,HOH,7000,250250701018,856
49,1,7,250250004014,937,0,0,HWH,300,250173501041,623
23,0,10,250250510002,762,0,1,HOH,300,250214001003,191
38,1,9,250251010022,895,0,1,HWH,1500,250251207001,395
42,1,4,250250406002,79,3,1,HWOH,30000,250250107011,67
72,0,4,250250501011,639,0,0,H,1500,250251103011,948
25,0,5,250173507002,722,0,1,HWH,3000,250250701018,856
