HOUSEID,PERSONID,WTTRDFIN,TOUR,TOURTYPE,STOPS,TOUR_FLG,BEGNTIME,DIST_M,TIME_M,MODE_D,MODE_T,TOT_CMIN,TOT_MILS,TOT_DWEL,TOT_DWEL2,VMT,PMT_POV,PMT_WALK,PMT_TRAN,PMT_OTHR,ENDTTIME,uniquePersonId
30000934,1,511508.46930109995,1,HO,0,0,1130,80.197,60,4,4,60,80.197,0,330,80.197,80.197,0.0,0.0,0.0,1230,30000934_1
30000934,1,511508.46930109995,2,OH,0,0,1800,80.266,90,4,4,90,80.266,0,0,80.266,80.266,0.0,0.0,0.0,1930,30000934_1
30000934,2,511212.65993098397,1,HW,0,0,700,6.015,30,4,4,30,6.015,0,30,6.015,6.015,0.0,0.0,0.0,730,30000934_2
30000934,2,511212.65993098397,2,WH,0,0,800,6.051,30,4,4,30,6.051,0,0,6.051,6.051,0.0,0.0,0.0,830,30000934_2
30004211,1,892200.508919504,1,HW,0,0,700,6.431,110,16,16,110,6.431,0,190,0.0,0.0,0.0,6.431,0.0,850,30004211_1
30004211,1,892200.508919504,2,WW,1,0,1200,0.444,25,1,1,39,0.888,13,369,0.0,0.0,0.888,0.0,0.0,1252,30004211_1
30004211,1,892200.508919504,3,WH,0,0,1848,7.178999999999999,107,16,16,107,7.178999999999999,0,0,0.0,0.0,0.0,7.178999999999999,0.0,2035,30004211_1
30004211,2,1082451.30949538,1,HH,0,0,1000,4.121,20,3,3,20,4.121,0,130,4.121,4.121,0.0,0.0,0.0,1020,30004211_2
30004211,2,1082451.30949538,2,HH,0,0,1230,4.289,30,3,3,30,4.289,0,60,4.289,4.289,0.0,0.0,0.0,1300,30004211_2
30004211,2,1082451.30949538,3,HO,0,0,1400,6.835,45,16,16,45,6.835,0,45,0.0,0.0,0.0,6.835,0.0,1445,30004211_2
30004211,2,1082451.30949538,4,OO,1,1,1530,6.8229999999999995,45,16,16,49,7.018,1,41,0.0,0.0,0.195,6.8229999999999995,0.0,1620,30004211_2
30004211,2,1082451.30949538,5,OH,0,0,1700,1.435,30,1,1,30,1.435,0,0,0.0,0.0,1.435,0.0,0.0,1730,30004211_2
30007605,1,668201.707417732,1,HW,0,0,941,13.827,30,6,6,30,13.827,0,577,13.827,13.827,0.0,0.0,0.0,1011,30007605_1
