age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
45,5,False,True,0,1,0,0,HWH,7
45,5,True,True,0,1,0,0,H,5
57,8,True,True,0,0,0,1,HOH,6
19,8,True,False,0,0,1,0,HWH,5
64,8,True,True,0,0,0,1,HOH,5
58,9,False,False,0,0,0,1,HWH,3
24,4,True,True,0,0,0,1,HOWH,7
58,9,False,False,0,1,0,0,HWH,0
46,11,True,True,0,0,0,1,HOH,1
58,6,True,True,1,0,0,0,HWH,5
48,6,False,False,0,0,0,1,HWH,1
29,6,False,True,0,0,0,1,HWH,4
29,6,True,True,0,0,0,1,HOH,0
65,4,False,False,0,1,0,0,HWH,1
58,11,True,True,0,0,1,0,HWH,2
55,11,False,True,0,0,0,1,HWH,2
28,4,True,True,1,0,0,0,HOH,6
29,4,True,True,0,0,0,1,HOH,7
80,7,True,False,1,0,0,0,HWH,2
51,7,False,False,1,0,0,0,HWH,1
58,8,False,False,0,0,0,1,HWH,7
59,8,True,False,0,0,1,0,HWH,3
61,8,False,True,0,0,0,1,HWH,6
44,8,True,False,0,0,0,1,HWH,2
64,6,False,False,1,0,0,0,H,4
46,9,True,False,0,0,0,1,HOH,1
40,8,False,False,0,1,0,0,HWH,0
40,8,True,True,0,0,0,1,HWH,4
35,7,True,True,1,0,0,0,HWH,5
33,7,False,False,1,0,0,0,HWH,7
39,7,False,True,0,0,0,1,HWH,1
58,6,True,False,1,0,0,0,HOH,6
32,7,False,True,0,0,0,1,HOH,1
34,7,True,False,0,0,1,0,HWH,1
54,8,False,True,0,1,0,0,HOH,7
56,8,True,False,0,0,1,0,HWH,5
40,8,True,True,1,0,0,0,HWH,5
77,8,True,True,1,0,0,0,HOH,4
64,10,True,True,1,0,0,0,HWH,1
44,11,True,True,1,0,0,0,HWOH,7
43,6,False,True,0,0,0,1,HWH,6
54,8,True,False,1,0,0,0,H,0
57,8,False,True,0,0,0,1,H,4
52,8,True,False,0,0,1,0,HOH,2
24,8,True,False,0,1,0,0,HWH,5
20,8,False,False,1,0,0,0,HWH,4
61,10,True,True,0,0,0,1,H,6
23,1,False,False,1,0,0,0,HWH,4
51,3,False,False,1,0,0,0,HWH,5
68,8,False,False,0,0,0,1,HWH,3
70,8,True,True,1,0,0,0,HWOWH,5
23,8,True,False,0,0,0,1,HWH,1
52,11,True,True,0,0,0,1,HWH,5
52,11,False,False,0,0,0,1,HOH,4
64,9,False,False,0,0,0,1,HWH,3
56,9,True,False,0,0,1,0,HWH,4
52,1,False,False,0,1,0,0,H,0
55,1,True,False,0,0,1,0,H,0
64,11,True,True,1,0,0,0,HWH,5
24,11,False,True,0,0,0,1,HWH,1
67,6,False,True,0,0,0,1,HOH,5
48,7,False,False,0,0,0,1,HWH,6
49,7,True,False,0,0,0,1,HWH,0
21,7,True,False,1,0,0,0,H,5
71,9,False,True,1,0,0,0,HOH,2
49,9,True,True,0,0,0,1,HOH,6
25,11,True,True,0,0,0,1,HOH,1
43,1,True,False,0,0,0,1,HOH,4
58,1,True,True,0,0,0,1,H,1
31,10,False,True,0,0,0,1,HOH,6
36,10,True,True,0,0,0,1,HOH,0
64,10,False,True,0,0,0,1,HOH,6
65,6,True,True,0,0,0,1,HOH,6
65,6,False,True,0,1,0,0,H,4
48,7,True,True,0,0,0,1,HWH,5
47,8,True,True,0,0,0,1,HWH,6
39,11,True,True,0,0,0,1,HWH,7
34,11,False,True,0,0,0,1,HWH,4
45,8,True,True,0,0,0,1,HWH,2
36,8,False,True,0,1,0,0,HOH,2
34,6,False,True,0,0,0,1,HOH,7
60,7,True,False,0,0,0,1,HWH,2
53,6,False,False,0,0,0,1,HOH,2
68,6,True,True,0,0,0,1,HOH,6
43,8,False,True,1,0,0,0,HWH,0
31,9,False,True,0,0,0,1,H,1
30,9,True,True,0,0,0,1,HWH,4
52,11,True,True,0,0,0,1,HOH,2
59,3,True,False,0,0,0,1,HWH,5
31,7,True,False,0,0,0,1,HWH,0
61,6,False,False,0,1,0,0,HWH,0
26,6,True,True,0,0,0,1,HWH,4
68,9,True,True,0,0,0,1,HOH,6
62,8,False,True,0,0,0,1,HOH,1
61,8,True,True,0,0,0,1,HOH,3
34,5,True,False,0,0,1,0,HWH,1
64,5,False,False,1,0,0,0,HOH,1
35,8,True,True,0,0,0,1,HWH,3
33,8,False,False,0,1,0,0,HWH,7
39,4,True,False,0,0,0,1,HOH,3
56,11,True,True,0,0,0,1,H,1
26,2,False,True,1,0,0,0,HOWOH,3
35,7,True,True,0,0,0,1,HOH,5
62,1,True,True,1,0,0,0,HOH,0
29,10,True,True,0,0,0,1,HOH,5
27,10,False,True,0,0,0,1,HWH,3
33,8,True,True,0,0,0,1,HWH,0
47,9,True,True,0,0,0,1,HWH,2
47,9,False,True,0,0,0,1,HWH,1
32,11,True,True,0,0,0,1,HOH,1
33,11,False,True,0,0,0,1,HOH,6
65,10,False,True,0,0,0,1,HWH,0
53,11,True,True,0,0,0,1,HOH,6
59,8,True,False,1,0,0,0,HWH,5
56,8,False,False,0,0,0,1,HWH,0
17,8,True,False,1,0,0,0,HOH,5
63,6,True,True,0,0,0,1,HWH,2
41,7,True,True,0,0,0,1,H,4
41,11,False,True,0,0,0,1,HWH,7
41,11,True,True,0,0,0,1,HWH,6
52,9,False,False,0,1,0,0,HWH,5
32,11,True,True,0,0,0,1,H,7
33,11,False,True,0,0,0,1,H,7
66,9,True,True,0,0,0,1,HOH,5
60,9,False,True,0,0,0,1,HWH,1
27,9,True,True,0,1,0,0,HWH,7
35,5,False,False,1,0,0,0,HWH,4
34,11,True,True,0,1,0,0,HOH,2
20,4,True,False,1,0,0,0,HWH,7
41,10,False,True,0,0,0,1,HWH,0
48,10,True,True,1,0,0,0,HWH,2
37,8,True,True,0,0,1,0,HWH,0
47,8,False,True,0,0,0,1,HWH,6
52,8,True,False,0,1,0,0,HWH,3
16,8,True,False,1,0,0,0,HOH,4
38,11,True,False,0,0,1,0,HOH,6
27,11,False,True,0,0,0,1,HWH,2
51,10,False,True,0,0,0,1,HOH,3
20,10,True,False,0,1,0,0,HWH,0
70,8,False,True,1,0,0,0,HWH,6
69,8,True,True,1,0,0,0,HWH,7
48,7,False,True,0,0,0,1,HWH,2
25,9,False,True,0,0,0,1,HWH,4
59,6,False,False,0,1,0,0,HOH,7
43,6,False,True,0,0,0,1,HWH,6
31,9,True,True,0,0,0,1,HWH,3
29,9,False,True,0,0,0,1,H,5
32,11,False,True,0,0,0,1,HWH,3
32,11,True,True,0,0,0,1,HOWOH,2
64,10,True,True,0,0,0,1,HOH,2
60,10,False,True,0,1,0,0,HOH,6
26,6,True,True,0,0,0,1,HOH,6
26,6,False,True,0,0,0,1,HWH,2
30,6,True,True,1,0,0,0,HOH,7
30,6,False,False,0,1,0,0,HOH,5
34,8,True,True,0,0,0,1,HOH,6
47,10,True,True,0,1,0,0,H,1
30,6,True,True,0,0,0,1,HWH,1
63,7,False,True,0,0,0,1,HWOH,0
34,7,True,False,0,0,1,0,HWH,3
50,6,False,True,0,1,0,0,HOH,1
71,8,True,False,0,1,0,0,HOH,6
65,7,False,False,0,1,0,0,HWH,5
34,10,True,False,0,0,1,0,HWH,6
48,7,True,True,0,0,0,1,HWH,5
47,7,False,False,0,0,0,1,HWH,7
48,10,True,True,0,0,0,1,HWH,1
20,10,True,False,1,0,0,0,HOH,1
19,10,False,False,1,0,0,0,HOH,6
31,9,False,True,0,0,0,1,HOH,7
45,8,False,False,0,1,0,0,H,2
42,8,True,False,0,0,0,1,HOH,6
49,6,True,True,0,0,0,1,HOH,5
48,6,False,True,0,0,0,1,HOH,1
31,11,True,True,0,0,0,1,HWH,2
26,11,False,True,0,0,0,1,HWH,2
65,7,False,True,0,1,0,0,HWH,1
59,5,True,True,0,0,1,0,HWH,5
57,5,False,True,0,0,1,0,HWH,5
30,5,False,True,1,0,0,0,HWH,1
25,5,False,True,0,0,0,1,HOH,0
63,6,True,False,0,0,1,0,HWH,4
85,9,False,True,1,0,0,0,HWH,1
51,11,True,True,0,0,0,1,HOH,6
41,11,True,True,0,0,0,1,H,5
50,7,True,True,1,0,0,0,HWH,5
50,7,False,True,1,0,0,0,HWH,1
50,6,True,False,0,0,1,0,HWH,4
35,6,False,False,1,0,0,0,HWH,1
