"P000","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","cluster","cluster_name"
"H","H","H","H","H","H","H","H","H","G","H","D","D","D","V","V","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","X","X","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","G","G","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","G","G","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","W","W","W","H","H","D","D","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","G","G","S","H","H","S","D","V","D","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","D","D","D","D","D","D","D","D","W","W","W","W","W","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",0,"Homemakers"
"H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","E","E","H","H","H",1,"9-to-5ers"
"H","H","H","H","H","H","H","H","H","H","H","V","V","W","W","W","W","W","W","W","H","H","H","H",1,"9-to-5ers"
"H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",1,"9-to-5ers"
