income,age,children,sex,bach_degree,cars,activity_sched
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'ex', 'w', 'h', 'w', 'rel', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,20 to 35,yes,male,yes,two or more,"['h', 'w', 'dp', 'bs', 'dp', 'h']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'rec', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'bg', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'bg', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'dp', 'w', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h', 'dp', 'h', 'w']"
lt35,35 to 60,yes,female,no,one,"['h', 'w', 'h', 'hos', 'h', 'ex', 'h', 'r', 'v', 'h']"
gt35-lt100,35 to 60,no,female,no,one,"['h', 'w', 'bs', 'bg', 'v', 'h']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'ex', 'bg', 'ex', 'bg', 'bs', 'bg', 'h', 'rel', 'h', 'v', 'bg', 'h']"
gt35-lt100,35 to 60,yes,male,yes,two or more,"['h', 'bs', 'h']"
gt35-lt100,19 and under,yes,male,no,two or more,"['h', 'w', 'h', 'rec', 'r', 'h']"
lt35,above 60,no,female,no,one,"['h', 'w', 'bs', 'bg', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'w', 'r', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'dp', 'ex', 'w', 'dp', 'h', 'ex', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'ex', 'h', 'bg', 'h', 'rec', 'h']"
gt100,above 60,no,female,yes,two or more,"['h', 'w', 'hos', 'w', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'rel', 'v']"
lt35,20 to 35,yes,male,yes,one,"['h', 'dp', 'h', 'dp', 'bg', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'bs', 'w', 'bs', 'h', 'r', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'bs', 'rec', 'bs', 'h', 'r', 'h']"
lt35,above 60,no,female,yes,two or more,"['h', 'r', 'w', 'bg', 'h', 'dp', 'h', 'r', 'h']"
lt35,20 to 35,no,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'r', 'bg', 'w', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'ex', 'h', 'r', 'h']"
gt35-lt100,20 to 35,no,male,no,two or more,"['h', 'rec', 'h']"
