"","P000","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","id","cluster","cluster_name"
"1","H","H","H","H","H","H","H","H","H","S","S","S","S","S","S","S","S","H","H","H","H","H","H","H",1,0,"Homemakers"
"2","H","H","H","H","H","H","H","H","H","H","H","H","G","Z","G","H","H","H","H","H","H","H","H","H",2,0,"Homemakers"
"3","H","H","H","H","H","H","H","H","H","H","H","H","H","H","P","H","H","H","H","H","H","H","H","H",3,0,"Homemakers"
"4","H","H","H","H","H","H","H","H","H","H","H","H","H","H","P","H","H","H","H","H","H","H","H","H",4,0,"Homemakers"
"5","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H",5,1,"9-to-5ers"
"6","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","W","W","W","Z","Z","H","H",6,1,"9-to-5ers"
"7","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",7,1,"9-to-5ers"
"8","H","H","H","H","H","X","P","P","P","P","P","E","V","X","X","X","X","X","X","X","X","X","X","X",8,0,"Homemakers"
"9","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",9,0,"Homemakers"
"10","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",10,0,"Homemakers"
"11","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",11,0,"Homemakers"
"12","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",12,0,"Homemakers"
"13","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","D","S","S","H","H","H","H","H","H",13,1,"9-to-5ers"
"14","H","H","H","H","H","H","H","H","H","R","R","R","H","H","H","H","H","H","H","H","H","H","H","H",14,2,"Afternoon Adventurers"
