P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,id
H,H,H,H,H,H,H,H,H,S,S,S,S,S,S,S,S,H,H,H,H,H,H,H,1
H,H,H,H,H,H,H,H,H,H,H,H,G,Z,G,H,H,H,H,H,H,H,H,H,2
H,H,H,H,H,H,H,H,H,H,H,H,H,H,P,H,H,H,H,H,H,H,H,H,3
H,H,H,H,H,H,H,H,H,H,H,H,H,H,P,H,H,H,H,H,H,H,H,H,4
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,5
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,W,W,W,Z,Z,H,H,6
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,7
H,H,H,H,H,X,P,P,P,P,P,E,V,X,X,X,X,X,X,X,X,X,X,X,8
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,9
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,10
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,11
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,12
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,D,S,S,H,H,H,H,H,H,13
H,H,H,H,H,H,H,H,H,R,R,R,H,H,H,H,H,H,H,H,H,H,H,H,14
H,H,H,H,H,H,H,H,G,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,15
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,16
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,17
H,H,H,H,H,H,H,D,X,H,H,H,H,H,H,H,D,H,X,H,H,H,H,H,18
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,19
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,20
H,H,H,H,H,H,W,H,H,H,H,H,H,H,H,D,H,W,W,W,W,W,W,W,21
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,R,R,R,R,H,H,H,H,H,22
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,S,G,H,H,H,H,H,H,23
H,H,H,H,H,H,H,H,H,V,V,V,V,V,H,H,H,H,H,H,H,H,H,H,24
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,25
H,H,H,H,H,H,H,H,H,H,H,H,H,H,E,E,H,H,H,H,H,H,H,H,26
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,27
H,H,H,H,H,H,H,H,H,H,X,X,X,G,H,H,H,H,E,E,H,H,H,H,28
H,H,H,H,H,H,H,H,H,H,X,X,X,G,H,H,H,H,E,E,H,H,H,H,29
H,H,H,H,H,H,H,H,H,V,H,H,R,R,R,V,V,V,V,E,H,H,H,H,30
H,H,H,H,H,H,H,H,H,H,G,S,H,H,H,H,E,E,H,H,H,H,H,H,31
H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,H,H,X,E,H,H,H,H,H,32
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,33
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,34
H,H,H,H,H,H,H,H,E,H,H,S,E,E,R,R,H,H,H,H,H,H,H,H,35
H,H,H,H,H,H,H,H,H,X,S,S,E,H,H,H,H,H,H,H,H,H,H,H,36
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,G,V,V,V,V,H,H,H,H,37
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,38
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,39
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,40
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,S,H,H,H,H,H,H,41
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,X,X,X,X,X,X,X,X,X,42
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,E,E,H,H,H,H,H,H,H,43
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,44
H,H,H,H,H,H,H,X,X,X,X,W,W,W,W,W,H,X,X,X,H,H,H,H,45
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,46
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,47
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,48
H,H,H,H,H,H,H,H,Z,Z,H,H,H,H,H,H,H,E,E,H,H,H,H,H,49
H,H,H,H,H,W,W,W,W,W,P,P,W,W,W,W,H,H,H,H,H,H,H,H,50
H,H,H,H,H,H,H,H,H,H,H,X,H,H,H,H,H,H,H,H,H,H,H,H,51
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,52
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,53
H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,54
H,H,H,H,H,H,H,H,W,W,W,W,W,W,S,S,H,H,E,E,H,H,H,H,55
H,H,H,H,H,H,H,W,W,W,W,W,W,W,S,S,R,S,E,E,H,H,H,H,56
H,H,H,H,H,H,H,H,H,H,W,H,H,H,D,H,H,H,H,H,H,H,H,H,57
H,H,H,H,H,H,H,H,E,W,W,W,H,H,D,H,H,E,H,H,H,H,H,H,58
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,59
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,60
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,61
H,H,H,H,H,H,H,H,W,W,W,W,W,E,W,W,W,H,H,H,H,H,H,H,62
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,X,H,H,H,H,H,63
H,H,H,H,H,H,H,H,H,H,H,H,S,H,S,R,R,R,R,H,H,H,H,H,64
H,H,H,H,H,H,H,H,H,H,H,P,G,G,H,H,H,R,R,H,H,H,H,H,65
H,H,H,H,R,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,66
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,67
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,68
H,H,H,H,H,H,D,P,P,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,69
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,70
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,E,H,H,H,H,H,71
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,E,H,H,H,H,H,72
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,73
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,74
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,75
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,76
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,S,H,H,H,H,H,H,H,77
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,78
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,H,H,H,H,H,H,H,H,79
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,80
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,81
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,E,E,E,E,H,H,H,H,H,82
H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,83
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,84
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,R,R,R,R,H,H,85
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,S,S,R,R,R,R,H,H,86
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,87
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,88
