,aNode_bNode,aNodes,bNodes,aNodeLat,aNodeLon,bNodeLat,bNodeLon,type,name,speed,ref,osmid,oneway,distance,activity,minutes
0,62574668_62574679,62574668,62574679,42.333217600000005,-83.0727618,42.3333486,-83.0721618,motorway_link,[],[],[],8727643,yes,51.42597531032097,driving,0.10289310786378746
1,62574679_62574682,62574679,62574682,42.3333486,-83.0721618,42.3333736,-83.0720108,motorway_link,[],[],[],8727643,yes,12.719632270698913,driving,0.025449444319125474
2,62574682_62574684,62574682,62574684,42.3333736,-83.0720108,42.3333956,-83.0717868,motorway_link,[],[],[],8727643,yes,18.574506392556245,driving,0.03716387833644707
3,62574684_62574687,62574684,62574687,42.3333956,-83.0717868,42.3334096,-83.0716488,motorway_link,[],[],[],8727643,yes,11.44986294740816,driving,0.02290888945059656
4,62574687_62597342,62574687,62597342,42.3334096,-83.0716488,42.333468599999996,-83.0707488,motorway_link,[],[],[],8727643,yes,74.26990461540751,driving,0.14859924893038717
5,62597342_62549168,62597342,62549168,42.333468599999996,-83.0707488,42.3334756,-83.0706948,motorway_link,[],[],[],8727643,yes,4.506501239328736,driving,0.009016609122306394
6,62549168_62549171,62549168,62549171,42.3334756,-83.0706948,42.3335206,-83.0704528,motorway_link,[],[],[],8727643,yes,20.511950069160843,driving,0.04104031626482762
7,62549171_62549173,62549171,62549173,42.3335206,-83.0704528,42.3335886,-83.0701628,motorway_link,[],[],[],8727643,yes,25.008284903324107,driving,0.05003658444042438
8,62549173_62549175,62549173,62549175,42.3335886,-83.0701628,42.33365560000001,-83.06993680000001,motorway_link,[],[],[],8727643,yes,20.01524038245533,driving,0.040046499364656526
9,62549175_62549177,62549175,62549177,42.33365560000001,-83.06993680000001,42.3337126,-83.0697718,motorway_link,[],[],[],8727643,yes,14.970741669258132,driving,0.029953464724406024
10,62549177_62549179,62549177,62549179,42.3337126,-83.0697718,42.333797600000004,-83.0695578,motorway_link,[],[],[],8727643,yes,19.96902078654265,driving,0.039954023182358245
11,62549179_62549181,62549179,62549181,42.333797600000004,-83.0695578,42.3338856,-83.0693618,motorway_link,[],[],[],8727643,yes,18.849767644577867,driving,0.037714621137610774
12,62549181_62549184,62549181,62549184,42.3338856,-83.0693618,42.3339966,-83.0690578,motorway_link,[],[],[],8727643,yes,27.87048235345151,driving,0.05576327001490898
13,62549184_62549186,62549184,62549186,42.3339966,-83.0690578,42.3340976,-83.0687458,motorway_link,[],[],[],8727643,yes,27.99725037234709,driving,0.05601690750769726
14,62549186_62549188,62549186,62549188,42.3340976,-83.0687458,42.3341356,-83.06861579999999,motorway_link,[],[],[],8727643,yes,11.490905612441,driving,0.022991007627933175
15,62549188_62549193,62549188,62549193,42.3341356,-83.06861579999999,42.3341806,-83.0684318,motorway_link,[],[],[],8727643,yes,15.930771835809894,driving,0.03187429338897538
16,62549193_62549196,62549193,62549196,42.3341806,-83.0684318,42.3345166,-83.0670188,motorway_link,[],[],[],8727643,yes,122.00752446403362,driving,0.2441126940056695
17,62549196_62549198,62549196,62549198,42.3345166,-83.0670188,42.3345506,-83.0668368,motorway_link,[],[],[],8727643,yes,15.430372451086061,driving,0.030873094139828052
18,62549198_62549200,62549198,62549200,42.3345506,-83.0668368,42.33456760000001,-83.0666968,motorway_link,[],[],[],8727643,yes,11.661952540521147,driving,0.02333323837639285
19,62549200_62549202,62549200,62549202,42.33456760000001,-83.0666968,42.334579600000005,-83.0665568,motorway_link,[],[],[],8727643,yes,11.584828476023956,driving,0.023178928523457296
20,62549202_62549203,62549202,62549203,42.334579600000005,-83.0665568,42.3345886,-83.0664001,motorway_link,[],[],[],8727643,yes,12.91925139620171,driving,0.025848842329335153
21,62549203_6023694017,62549203,6023694017,42.3345886,-83.0664001,42.3345665,-83.0660503,motorway_link,[],[],[],8727643,yes,28.85769904411537,driving,0.05773849348562499
22,6023694017_62549212,6023694017,62549212,42.3345665,-83.0660503,42.334516,-83.0657584,motorway_link,[],[],[],8727643,yes,24.64195765728941,driving,0.049303636769286535
23,62549220_62549224,62549220,62549224,42.3337875,-83.07369270000001,42.333535499999996,-83.0741859,motorway_link,[],[],[],8727644,yes,49.282136534565055,driving,0.0986037145549521
24,62549224_62549226,62549224,62549226,42.333535499999996,-83.0741859,42.3333256,-83.0746417,motorway_link,[],[],[],8727644,yes,44.14169905108241,driving,0.08831872559240178
