aNode_bNode,aNodeLat,aNodeLon,aNodes,active_net,bNodeLat,bNodeLon,bNodes,cycle_speed_m_s,distance,drive_net,drive_speed,drive_speed_m_s,name,oneway,osmid,ref,speed,type,walk_speed_m_s,cycle_time_minutes,walk_time_minutes,drive_time_minutes
62554803_62554804,42.3339580,-83.0680888,62554803,True,42.3340500,-83.0676781,62554804,4.167,35.27498724502077,True,25.0,11.25,Vernor Highway West,yes,8728177,[],[],unclassified,1.11,0.1410886618871321,0.5296544631384499,0.052259240362993724
62554804_62554805,42.3340500,-83.0676781,62554804,True,42.3343790,-83.0664310,62554805,4.167,108.84199488948545,True,25.0,11.25,Vernor Highway West,yes,8728177,[],[],unclassified,1.11,0.43533315290570934,1.6342641875298114,0.16124739983627473
62554805_62554806,42.3343790,-83.0664310,62554805,True,42.3343950,-83.0663360,62554806,4.167,8.008946101861358,True,25.0,11.25,Vernor Highway West,yes,8728177,[],[],unclassified,1.11,0.03203322174970546,0.12025444597389426,0.0118651053360909
62554806_62554807,42.3343950,-83.0663360,62554806,True,42.3344050,-83.0662330,62554807,4.167,8.539130310717654,True,25.0,11.25,Vernor Highway West,yes,8728177,[],[],unclassified,1.11,0.03415378893975544,0.12821516983059542,0.012650563423285414
62554807_62554810,42.3344050,-83.0662330,62554807,True,42.3344100,-83.0661300,62554810,4.167,8.484657092259235,True,25.0,11.25,Vernor Highway West,yes,8728177,[],[],unclassified,1.11,0.033935913495957266,0.12739725363752605,0.01256986235890257
62554810_62554812,42.3344100,-83.0661300,62554810,True,42.3344090,-83.0659960,62554812,4.167,11.015129079337408,True,25.0,11.25,Vernor Highway West,yes,8728177,[],[],unclassified,1.11,0.04405699175800899,0.16539232851857968,0.01631870974716653
62554812_62554813,42.3344090,-83.0659960,62554812,True,42.3343990,-83.0658740,62554813,4.167,10.089648937492349,True,25.0,11.25,Vernor Highway West,yes,8728177,[],[],unclassified,1.11,0.04035536732058375,0.15149623029267792,0.014947628055544221
62554813_62554814,42.3343990,-83.0658740,62554813,True,42.3343840,-83.0657840,62554814,4.167,7.583541270492069,True,25.0,11.25,Vernor Highway West,yes,8728177,[],[],unclassified,1.11,0.030331738542884845,0.11386698604342445,0.011234875956284548
62554814_62554815,42.3343840,-83.0657840,62554814,True,42.3343640,-83.0656960,62554815,4.167,7.567598486192137,True,25.0,11.25,Vernor Highway West,yes,8728177,[],[],unclassified,1.11,0.030267972506967993,0.11362760489777982,0.011211257016580942
62554815_62554817,42.3343640,-83.0656960,62554815,True,42.3343370,-83.0656110,62554817,4.167,7.604589785500828,True,25.0,11.25,Vernor Highway West,yes,8728177,[],[],unclassified,1.11,0.030415925867933877,0.11418302981232473,0.011266058941482708
62554817_62554820,42.3343370,-83.0656110,62554817,True,42.3342820,-83.0654640,62554820,4.167,13.542706802692907,True,25.0,11.25,Vernor Highway West,yes,8728177,[],[],unclassified,1.11,0.05416649389126033,0.20334394598637998,0.020063269337322824
62554820_62554824,42.3342820,-83.0654640,62554820,True,42.3342360,-83.0653740,62554824,4.167,8.993955873629073,True,25.0,11.25,Vernor Highway West,yes,8728177,[],[],unclassified,1.11,0.03597294565886358,0.13504438248692302,0.01332437907204307
62781610_4691679933,42.3298699,-83.0771140,62781610,True,42.3298972,-83.0770490,4691679933,4.167,6.145368339302678,True,27.08677685950413,12.189049586776859,Vernor Highway West,yes,8731490,[],[],tertiary,1.11,0.024579506996650978,0.0922727978874276,0.008402854129509552
4691679933_5589589269,42.3298972,-83.0770490,4691679933,True,42.3299499,-83.0769944,5589589269,4.167,7.381363334299706,True,27.08677685950413,12.189049586776859,Vernor Highway West,yes,8731490,[],[],tertiary,1.11,0.029523091489879635,0.11083128129579137,0.010092888814874305
5589589269_62781609,42.3299499,-83.0769944,5589589269,True,42.3300353,-83.0769361,62781609,4.167,10.6368659381703,True,27.08677685950413,12.189049586776859,Vernor Highway West,yes,8731490,[],[],tertiary,1.11,0.04254406022786297,0.1597127017743288,0.0145442922114146
62781609_4691680010,42.3300353,-83.0769361,62781609,True,42.3310680,-83.0765112,4691680010,4.167,120.02556776994174,True,27.08677685950413,12.189049586776859,Vernor Highway West,yes,8731490,[],[],tertiary,1.11,0.4800638659704894,1.8021857022513774,0.1641166618658412
4691680010_4691680020,42.3310680,-83.0765112,4691680010,True,42.3312104,-83.0764518,4691680020,4.167,16.569930104623175,True,27.08677685950413,12.189049586776859,Vernor Highway West,yes,8731490,[],[],tertiary,1.11,0.0662744184650155,0.24879774931866627,0.022656852757684597
4691680020_62589101,42.3312104,-83.0764518,4691680020,True,42.3313601,-83.0764333,62589101,4.167,16.715202630337156,True,27.08677685950413,12.189049586776859,Vernor Highway West,yes,8731490,[],[],tertiary,1.11,0.06685546208438188,0.2509790184735309,0.022855490784764766
62594248_62594250,42.3390602,-83.0812333,62594248,True,42.3391234,-83.0812032,62594250,4.167,7.450276734999785,True,25.0,11.25,[],yes,8732037,[],[],secondary_link,1.11,0.029798723042155768,0.11186601704203882,0.011037447014814496
62596490_62596488,42.3380293,-83.0847998,62596490,True,42.3379826,-83.0848258,62596488,4.167,5.615346176312115,True,25.0,11.25,[],yes,8732270,[],[],secondary_link,1.11,0.022459587938213402,0.08431450715183356,0.008319031372314245
62596488_62596485,42.3379826,-83.0848258,62596488,True,42.3379515,-83.0848192,62596485,4.167,3.5004525665230695,True,25.0,11.25,[],yes,8732270,[],[],secondary_link,1.11,0.014000690210875409,0.05255934784569173,0.005185855654108252
62596485_62596482,42.3379515,-83.0848192,62596485,True,42.3379298,-83.0847839,62596482,4.167,3.7736667995516355,True,25.0,11.25,[],yes,8732270,[],[],secondary_link,1.11,0.015093459721428828,0.05666166365693146,0.005590617480817238
62596482_62596478,42.3379298,-83.0847839,62596482,True,42.3379124,-83.0847012,62596478,4.167,7.067411034409209,True,25.0,11.25,[],yes,8732270,[],[],secondary_link,1.11,0.028267382747017074,0.10611728279893705,0.010470238569495123
1995297947_1995297964,42.3370396,-83.0876919,1995297947,True,42.3371481,-83.0875786,1995297964,4.167,15.24078475152499,True,25.0,11.25,[],yes,8732271,[],[],secondary_link,1.11,0.060958262345112355,0.2288406118847596,0.022578940372629617
62597279_333464827,42.3346252,-83.0712243,62597279,True,42.3347292,-83.0712838,333464827,4.167,12.555958195984607,True,25.0,11.25,Cochrane Street,[],8732350,[],[],residential,1.11,0.05021981519872253,0.1885279008406097,0.018601419549606823
62614034_4519288167,42.3266862,-83.0800694,62614034,True,42.3267427,-83.0798966,4519288167,4.167,15.532836164617553,True,25.0,11.25,Johnson Street,[],8733713,[],[],residential,1.11,0.062126374548506336,0.23322576823750077,0.023011609132766744
4519288167_62614040,42.3267427,-83.0798966,4519288167,True,42.3269060,-83.0793969,62614040,4.167,44.91366296654118,True,25.0,11.25,Johnson Street,[],8733713,[],[],residential,1.11,0.17964028064371323,0.6743793238219397,0.06653875995043138
62615796_4691680315,42.3333783,-83.0823276,62615796,True,42.3334395,-83.0821116,4691680315,4.167,19.014564301334833,True,25.0,11.25,Perry Street,[],8733880,[],[],residential,1.11,0.07605217303149682,0.28550396848851095,0.02816972489086642
4691680315_62615799,42.3334395,-83.0821116,4691680315,True,42.3334863,-83.0819758,62615799,4.167,12.316108100677605,True,25.0,11.25,Perry Street,[],8733880,[],[],residential,1.11,0.04926049156338535,0.18492654805822228,0.01824608607507793
62615799_4691680313,42.3334863,-83.0819758,62615799,True,42.3335572,-83.0817489,4691680313,4.167,20.248820125491285,True,25.0,11.25,Perry Street,[],8733880,[],[],residential,1.11,0.0809888013978533,0.30403633822058984,0.029998252037764867
