,aNodes,bNodes,aNodeLat,aNodeLon,bNodeLat,bNodeLon,weight,distance,net_type,activity,minutes
18,3040,3047,42.343399,-83.07650699999998,42.341693,-83.07220600000002,0.9166666666666666,,transit,pt,0.9166666666666666
19,3047,2185,42.341693,-83.07220600000002,42.340651,-83.069662,0.55,,transit,pt,0.55
20,2185,2186,42.340651,-83.069662,42.340017,-83.06809200000002,0.36666666666666653,,transit,pt,0.36666666666666653
106,3040,3047,42.343399,-83.07650699999998,42.341693,-83.07220600000002,0.9166666666666666,,transit,pt,0.9166666666666666
107,3047,2185,42.341693,-83.07220600000002,42.340651,-83.069662,0.55,,transit,pt,0.55
108,2185,2186,42.340651,-83.069662,42.340017,-83.06809200000002,0.36666666666666653,,transit,pt,0.36666666666666653
194,3040,3047,42.343399,-83.07650699999998,42.341693,-83.07220600000002,0.9166666666666666,,transit,pt,0.9166666666666666
195,3047,2185,42.341693,-83.07220600000002,42.340651,-83.069662,0.55,,transit,pt,0.55
196,2185,2186,42.340651,-83.069662,42.340017,-83.06809200000002,0.36666666666666653,,transit,pt,0.36666666666666653
282,3040,3047,42.343399,-83.07650699999998,42.341693,-83.07220600000002,0.9166666666666666,,transit,pt,0.9166666666666666
283,3047,2185,42.341693,-83.07220600000002,42.340651,-83.069662,0.55,,transit,pt,0.55
284,2185,2186,42.340651,-83.069662,42.340017,-83.06809200000002,0.36666666666666653,,transit,pt,0.36666666666666653
370,3040,3047,42.343399,-83.07650699999998,42.341693,-83.07220600000002,0.9166666666666666,,transit,pt,0.9166666666666666
371,3047,2185,42.341693,-83.07220600000002,42.340651,-83.069662,0.55,,transit,pt,0.55
372,2185,2186,42.340651,-83.069662,42.340017,-83.06809200000002,0.36666666666666653,,transit,pt,0.36666666666666653
1519,2804,2179,42.341917,-83.082642,42.338887,-83.080901,0.8833333333333333,,transit,pt,0.8833333333333333
1520,2179,2803,42.338887,-83.080901,42.337364,-83.080054,0.4666666666666667,,transit,pt,0.4666666666666667
1521,2803,2788,42.337364,-83.080054,42.33505200000001,-83.078722,0.6833333333333333,,transit,pt,0.6833333333333333
1522,2788,1300,42.33505200000001,-83.078722,42.333689,-83.07794799999998,0.43333333333333335,,transit,pt,0.43333333333333335
1523,1300,4158,42.333689,-83.07794799999998,42.332078,-83.074931,1.4166666666666667,,transit,pt,1.4166666666666667
1524,4158,439,42.332078,-83.074931,42.333256,-83.052412,6.583333333333332,,transit,pt,6.583333333333332
1621,2804,2179,42.341917,-83.082642,42.338887,-83.080901,0.8833333333333333,,transit,pt,0.8833333333333333
1622,2179,2803,42.338887,-83.080901,42.337364,-83.080054,0.4666666666666667,,transit,pt,0.4666666666666667
1623,2803,2788,42.337364,-83.080054,42.33505200000001,-83.078722,0.6833333333333333,,transit,pt,0.6833333333333333
1624,2788,1300,42.33505200000001,-83.078722,42.333689,-83.07794799999998,0.43333333333333335,,transit,pt,0.43333333333333335
1625,1300,4158,42.333689,-83.07794799999998,42.332078,-83.074931,1.4166666666666667,,transit,pt,1.4166666666666667
1626,4158,439,42.332078,-83.074931,42.333256,-83.052412,6.583333333333332,,transit,pt,6.583333333333332
1723,2804,2179,42.341917,-83.082642,42.338887,-83.080901,0.8833333333333333,,transit,pt,0.8833333333333333
1724,2179,2803,42.338887,-83.080901,42.337364,-83.080054,0.4666666666666667,,transit,pt,0.4666666666666667
1725,2803,2788,42.337364,-83.080054,42.33505200000001,-83.078722,0.6833333333333333,,transit,pt,0.6833333333333333
1726,2788,1300,42.33505200000001,-83.078722,42.333689,-83.07794799999998,0.43333333333333335,,transit,pt,0.43333333333333335
1727,1300,4158,42.333689,-83.07794799999998,42.332078,-83.074931,1.4166666666666667,,transit,pt,1.4166666666666667
1728,4158,439,42.332078,-83.074931,42.333256,-83.052412,6.583333333333332,,transit,pt,6.583333333333332
1773,1343,4582,42.33410900000001,-83.073466,42.335267,-83.074114,0.5333333333333333,,transit,pt,0.5333333333333333
1774,4582,2805,42.335267,-83.074114,42.336772,-83.075014,0.5666666666666667,,transit,pt,0.5666666666666667
1775,2805,3043,42.336772,-83.075014,42.339119,-83.07630400000002,0.7833333333333333,,transit,pt,0.7833333333333333
1776,3043,2181,42.339119,-83.07630400000002,42.340772,-83.077236,0.65,,transit,pt,0.65
1876,2806,1343,42.337651,-83.058254,42.33410900000001,-83.073466,3.5166666666666666,,transit,pt,3.5166666666666666
1877,1343,4582,42.33410900000001,-83.073466,42.335267,-83.074114,0.5333333333333333,,transit,pt,0.5333333333333333
1878,4582,2805,42.335267,-83.074114,42.336772,-83.075014,0.5666666666666667,,transit,pt,0.5666666666666667
1879,2805,3043,42.336772,-83.075014,42.339119,-83.07630400000002,0.7833333333333333,,transit,pt,0.7833333333333333
1880,3043,2181,42.339119,-83.07630400000002,42.340772,-83.077236,0.65,,transit,pt,0.65
1980,2806,1343,42.337651,-83.058254,42.33410900000001,-83.073466,3.5166666666666666,,transit,pt,3.5166666666666666
1981,1343,4582,42.33410900000001,-83.073466,42.335267,-83.074114,0.6666666666666666,,transit,pt,0.6666666666666666
1982,4582,2805,42.335267,-83.074114,42.336772,-83.075014,0.7166666666666667,,transit,pt,0.7166666666666667
1983,2805,3043,42.336772,-83.075014,42.339119,-83.07630400000002,0.9666666666666668,,transit,pt,0.9666666666666668
1984,3043,2181,42.339119,-83.07630400000002,42.340772,-83.077236,0.8166666666666667,,transit,pt,0.8166666666666667
2114,4149,4151,42.323954,-83.086179,42.32535900000001,-83.08211999999997,1.3833333333333333,,transit,pt,1.3833333333333333
2115,4151,4153,42.32535900000001,-83.08211999999997,42.324685,-83.080263,0.5333333333333333,,transit,pt,0.5333333333333333
2116,4153,4154,42.324685,-83.080263,42.325473,-83.077726,0.6166666666666667,,transit,pt,0.6166666666666667
2117,4154,4156,42.325473,-83.077726,42.327057,-83.072387,1.25,,transit,pt,1.25
2118,4156,519,42.327057,-83.072387,42.328008,-83.069443,0.65,,transit,pt,0.65
2119,519,4161,42.328008,-83.069443,42.329281,-83.065484,0.9333333333333332,,transit,pt,0.9333333333333332
2120,4161,3368,42.329281,-83.065484,42.327534,-83.064127,0.9333333333333332,,transit,pt,0.9333333333333332
2121,3368,3365,42.327534,-83.064127,42.326073,-83.062937,0.8166666666666667,,transit,pt,0.8166666666666667
2122,3365,2220,42.326073,-83.062937,42.325543,-83.061934,0.5333333333333333,,transit,pt,0.5333333333333333
2156,4149,4151,42.323954,-83.086179,42.32535900000001,-83.08211999999997,1.3833333333333333,,transit,pt,1.3833333333333333
2157,4151,4153,42.32535900000001,-83.08211999999997,42.324685,-83.080263,0.5333333333333333,,transit,pt,0.5333333333333333
2158,4153,4154,42.324685,-83.080263,42.325473,-83.077726,0.6166666666666667,,transit,pt,0.6166666666666667
2159,4154,4156,42.325473,-83.077726,42.327057,-83.072387,1.25,,transit,pt,1.25
2160,4156,519,42.327057,-83.072387,42.328008,-83.069443,0.65,,transit,pt,0.65
