income,age,children,sex,bach_degree,cars,activities,start_times
gt35-lt100,35 to 60,no,female,yes,one,H_W_X_W_H_W_Z_H,25200_50400_50640_57660_61440_72180_79200
gt100,35 to 60,no,female,yes,two or more,H_W_H,18180_57780
gt35-lt100,above 60,no,male,no,two or more,H_W_H,21840_43200
gt100,20 to 35,yes,male,yes,two or more,H_W_D_S_D_H,25200_54180_57780_64800_64860
gt100,20 to 35,yes,female,yes,two or more,H_R_H,32400_43260
gt35-lt100,above 60,no,male,no,two or more,H_G_H,43200_46980
gt35-lt100,35 to 60,no,female,no,two or more,H_G_H,43200_46980
gt100,35 to 60,yes,female,yes,two or more,H_D_W_H,25200_25320_61200
gt100,35 to 60,yes,male,yes,two or more,H_W_H_D_H_W,21600_25200_54300_57600_61260
lt35,35 to 60,yes,female,no,one,H_W_H_P_H_X_H_E_V_H,50580_54180_57660_57900_61320_64800_65040_68400_68640
gt35-lt100,35 to 60,no,female,no,one,H_W_S_G_V_H,21780_54000_54180_57780_72240
gt35-lt100,35 to 60,yes,female,yes,two or more,H_X_G_X_G_S_G_H_Z_H_V_G_H,21780_25380_28980_39600_39780_39840_46800_57840_64800_68400_68580_72240
gt35-lt100,35 to 60,yes,male,yes,two or more,H_S_H,28800_72240
gt35-lt100,19 and under,yes,male,no,two or more,H_W_H_R_E_H,14640_54180_68400_75600_82800
lt35,above 60,no,female,no,one,H_W_S_G_H,28800_61200_64860_65100
gt100,above 60,no,male,yes,two or more,H_W_E_H,25200_54000_61200
gt100,35 to 60,no,female,yes,two or more,H_W,25380
gt100,35 to 60,yes,female,yes,two or more,H_D_X_W_D_H_X_H,25380_25440_39780_57720_57780_61440_72000
gt100,35 to 60,yes,male,yes,two or more,H_W_H,21780_61380
gt100,35 to 60,yes,male,yes,two or more,H_X_H_G_H_R_H,21780_28800_36180_36300_43380_50460
gt100,above 60,no,female,yes,two or more,H_W_P_W_H,18240_36180_43260_57600
gt100,35 to 60,yes,male,yes,two or more,H_Z_V,28800_54000
lt35,20 to 35,yes,male,yes,one,H_D_H_D_G_H,28860_28860_36300_36300_39840
gt100,35 to 60,no,male,yes,two or more,H_S_W_S_H_E_H,28800_28860_50640_57780_65040_72060
gt100,35 to 60,no,female,yes,two or more,H_W_S_R_S_H_E_H,25380_50580_57600_61440_64800_65040_72000
lt35,above 60,no,female,yes,two or more,H_E_W_G_H_D_H_E_H,29040_32640_43260_43440_50640_54060_61200_64980
lt35,20 to 35,no,male,no,two or more,H_W_H,50640_0
gt35-lt100,20 to 35,no,female,yes,two or more,H_W_H,25260_57780
gt100,20 to 35,no,female,yes,two or more,H_W_E_G_W_H,28800_46860_50580_50580_61260
gt100,20 to 35,no,male,yes,two or more,H_W_X_H_E_H,28920_64980_68580_72060_72180
gt35-lt100,20 to 35,no,male,no,two or more,H_R_H,14580_18180
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H,54180_75780
lt35,20 to 35,yes,female,yes,one,H_D_P_D_H,21840_25380_32400_32520
gt100,above 60,no,male,yes,two or more,H_G_H_D_E_H_G_H,43380_43500_61320_64860_68460_79260_79440
gt100,above 60,no,female,yes,two or more,H_D_E_H,61320_64860_68460
lt35,20 to 35,no,male,yes,two or more,H_Z_H_Z_H,28800_43380_61380_72000
lt35,20 to 35,no,female,yes,two or more,H_Z_H_Z_H,28800_43380_61380_72000
gt100,20 to 35,no,female,no,two or more,H_W_E_G_W_H,21780_39660_39720_39840_57600
gt35-lt100,35 to 60,no,female,no,two or more,H_W_H_S_H,21600_54000_57600_61200
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H,18180_54180
gt35-lt100,above 60,no,male,no,two or more,H_W_H,54000_57600
gt35-lt100,35 to 60,no,male,no,two or more,H_E_W_H,18000_18060_54180
gt35-lt100,20 to 35,no,male,no,two or more,H_W_E_H,18000_54180_68400
gt100,above 60,no,male,yes,two or more,H_W_G_W,32400_46800_47040
gt35-lt100,above 60,no,male,yes,one,H_W_S_W_H,25320_36000_36240_61200
gt100,35 to 60,no,female,yes,two or more,H_W_S_G_R_H,25200_64860_64860_64920_79260
gt100,35 to 60,no,male,no,two or more,H_W_S_G_R_H,25200_57720_64860_64920_79260
