	Von	Name	Nach	Name	Nr. 1007
1	1	Im Lehmsaal	234	Elbbrücken	9,25
2	2	Klecken	234	Elbbrücken	13,9
3	3	Winsen	234	Elbbrücken	73,57
4	4	v/nHittfeld	234	Elbbrücken	8,08
5	5	Ashausen	234	Elbbrücken	6,55
6	6	Maschen, Schöne Auss	234	Elbbrücken	9,25
7	7	Stelle	234	Elbbrücken	6,55
8	8	Huckfeldsheide	234	Elbbrücken	5,33
9	9	v/nMaschen	234	Elbbrücken	6,55
10	10	Maschener Schützenst	234	Elbbrücken	6,64
11	11	Emmelndorf, Steineck	234	Elbbrücken	5,37
12	12	Ost-Krauel	234	Elbbrücken	1,11
13	13	S Hittfeld	234	Elbbrücken	5,38
14	14	Sülzbrack	234	Elbbrücken	1,28
15	15	S Maschen	234	Elbbrücken	6,64
16	16	Woxdorf	234	Elbbrücken	5,37
17	17	Fleestedt	234	Elbbrücken	6,97
18	18	Lerchenweg	234	Elbbrücken	7,88
19	19	Achterdeich	234	Elbbrücken	5,28
20	20	Kirchw Mühlendamm	234	Elbbrücken	1,29
21	21	Rönne, Brücke	234	Elbbrücken	2,82
22	22	Höpengrund	234	Elbbrücken	5,34
23	23	Am Felde (S Meckelfe	234	Elbbrücken	7,88
24	24	Rönneburger Str	234	Elbbrücken	7,88
25	25	S Meckelfeld	234	Elbbrücken	9,11
26	26	Sandkäferweg	234	Elbbrücken	42,2
27	27	Geesthacht, Schiffba	234	Elbbrücken	2,75
28	28	Kirchwerder, Howe	234	Elbbrücken	1,27
29	29	Sinstorfer Kirchweg	234	Elbbrücken	19,69
30	30	Speicherbecken	234	Elbbrücken	7,49
31	31	Altengamme, Zeltplat	234	Elbbrücken	1,09
32	32	Schützenhof Neuengam	234	Elbbrücken	1,13
33	33	Overwerder	234	Elbbrücken	1,35
34	34	Lüttwetter	234	Elbbrücken	1,1
35	35	Spritzenhaus	234	Elbbrücken	1,25
36	36	Vahrendorf, Ehestorf	234	Elbbrücken	6,14
37	37	Kälbersteert	234	Elbbrücken	1,13
38	38	Vahrendorf, Appelbüt	234	Elbbrücken	27,1
39	39	Geesthacht, Norderst	234	Elbbrücken	2,75
40	40	Buchholzer Weg	234	Elbbrücken	19,91
41	41	An der Eiche	234	Elbbrücken	19,64
42	42	Zum Jägerfeld	234	Elbbrücken	40,59
43	43	Geesthacht, Oberstad	234	Elbbrücken	2,75
44	44	Geesthacht, Heuweg	234	Elbbrücken	2,75
45	45	Fünfhausen, Durchdei	234	Elbbrücken	1,15
46	46	Ernst-Bergeest-Weg	234	Elbbrücken	58,51
47	47	Radickestr	234	Elbbrücken	18,38
48	48	Bullenhausen, Pumpwe	234	Elbbrücken	6,93
49	49	Düneberger Str (Mitt	234	Elbbrücken	2,75
50	50	Geesthacht, Waldstr	234	Elbbrücken	3,47
51	51	Oortkaten	234	Elbbrücken	1,09
52	52	Eißend. Mühlenweg	234	Elbbrücken	17,23
53	53	Winsener Str (Nord)	234	Elbbrücken	21,62
54	54	Seefeld	234	Elbbrücken	1,27
55	55	Rabenstein	234	Elbbrücken	41,42
56	56	Jägerhof	234	Elbbrücken	6,14
57	57	Göhlbachtal	234	Elbbrücken	42,69
58	58	Horster Schule	234	Elbbrücken	1,1
59	59	Wohlersweg	234	Elbbrücken	13,91
60	60	Cursl Heerweg 44-46	234	Elbbrücken	1,1
61	61	Besenhorst	234	Elbbrücken	2,75
62	62	Majestätische Aussic	234	Elbbrücken	15,42
63	63	Ehestorfer Weg (Mitt	234	Elbbrücken	18,59
64	64	Knoopstr./Bremer Str	234	Elbbrücken	20,6
65	65	Lübbersweg	234	Elbbrücken	22,69
66	66	S Harburg	234	Elbbrücken	58,67
67	67	Lühmannstr	234	Elbbrücken	15,97
68	68	Moorstr	234	Elbbrücken	51,35
69	69	Denickestr	234	Elbbrücken	16,13
70	70	Neu Wulmstorf, Postw	234	Elbbrücken	12,37
71	71	Neugrabener Heideweg	234	Elbbrücken	11,18
72	72	Goldene Wiege	234	Elbbrücken	8,51
73	73	Neuengammer Hausdeich	234	Elbbrücken	1,26
74	74	Grundheide	234	Elbbrücken	9,09
75	75	Grossmoorring	234	Elbbrücken	13,82
76	76	S Harb Rath Eißend.S	234	Elbbrücken	21,35
77	77	Technische Uni Harbu	234	Elbbrücken	49,95
78	78	Buxtehude	234	Elbbrücken	22,38
79	79	Worth	234	Elbbrücken	1,35
80	80	v/nNeugraben	234	Elbbrücken	9,58
81	81	Neu Wulmstorf, Kants	234	Elbbrücken	9,81
82	82	Lohmannsweg	234	Elbbrücken	30,77
83	83	Reitbrook, Schule	234	Elbbrücken	1,04
84	84	S Heimfeld	234	Elbbrücken	24,41
85	85	Escheburg, Götensber	234	Elbbrücken	4,43
86	86	Kanalplatz	234	Elbbrücken	34,02
87	87	Unterelbestr	234	Elbbrücken	52,68
88	88	Horster Damm 258	234	Elbbrücken	1,64
89	89	Ochsenwerder	234	Elbbrücken	1,24
90	90	Schiefe Brücke	234	Elbbrücken	1,26
91	91	Betonwerk	234	Elbbrücken	15,54
92	92	Achterschlag	234	Elbbrücken	1,11
93	93	Kaserne Fischbek	234	Elbbrücken	7,12
94	94	Moorburger Str	234	Elbbrücken	38,01
95	95	Ochsenwerder Mühlenw	234	Elbbrücken	1,06
96	96	Moorburger Bogen	234	Elbbrücken	7,21
97	97	Haake	234	Elbbrücken	11,17
98	98	Allermöher Werftstegel	234	Elbbrücken	1,07
99	99	Rostweg	234	Elbbrücken	5,21
100	100	Opferberg	234	Elbbrücken	12,36
101	101	Zum Fürstenmoor	234	Elbbrücken	2,5
102	102	Börnsen, Dänenweg	234	Elbbrücken	7,27
103	103	Esso	234	Elbbrücken	32,86
104	104	S Neugraben	234	Elbbrücken	10,25
105	105	Moorw Hauptdeich 69	234	Elbbrücken	1,91
106	106	Neuwied Str (West)	234	Elbbrücken	2,23
107	107	Twistering	234	Elbbrücken	2,25
108	108	Holtenklinke	234	Elbbrücken	5,35
109	109	Friedhof Finkenriek	234	Elbbrücken	30,4
110	110	Phillips/Hausbruch	234	Elbbrücken	2,33
111	111	Allermöhe Kirche	234	Elbbrücken	4,66
112	112	Heidemoor	234	Elbbrücken	2,23
113	113	Wehrdeich	234	Elbbrücken	9,05
114	114	Weidendamm	234	Elbbrücken	25,99
115	115	Unterm Heilbrunnen	234	Elbbrücken	24,63
116	116	Nettelnburger Str	234	Elbbrücken	11,24
117	117	Hamfelderedder	234	Elbbrücken	5,3
118	118	Sternwarte, Eingang	234	Elbbrücken	8,46
119	119	Neu Allermöhe Nord	234	Elbbrücken	12,54
120	120	Adolf-Köster-Damm	234	Elbbrücken	10,59
121	121	NETTELNB.KIRCHENWEG	234	Elbbrücken	8,93
122	122	Lehfeld	234	Elbbrücken	36,19
123	123	Wilhelmsburg 1	234	Elbbrücken	18,58
124	124	Mohnhof	234	Elbbrücken	8,21
125	125	Margit-Zinke-Str	234	Elbbrücken	22,09
126	126	Tatenberg	234	Elbbrücken	1,05
127	127	Wilhelmsburg 2	234	Elbbrücken	22,84
128	128	Pfingstberg	234	Elbbrücken	10,01
129	129	Krankenhaus Bethesda	234	Elbbrücken	8,64
130	130	S Nettelnburg	234	Elbbrücken	7,65
131	131	Trettaustr	234	Elbbrücken	27,18
132	132	Gartenfreunde Franco	234	Elbbrücken	2,06
133	133	Kampchaussee 37	234	Elbbrücken	6,24
134	134	Moorburger Elbd 297	234	Elbbrücken	4,54
135	135	S Bergedorf	234	Elbbrücken	38,27
136	136	Gewerbegebiet Allermöhe Ost	234	Elbbrücken	40,15
137	137	Wentorf, Höppneralle	234	Elbbrücken	13,95
138	138	Rethebrücke (Nord)	234	Elbbrücken	15,33
139	139	Wilhelmsburg 3	234	Elbbrücken	25,35
140	140	Luisenschule	234	Elbbrücken	10,1
141	141	Billwerder Str  42	234	Elbbrücken	6,46
142	142	Lohbrügger Markt	234	Elbbrücken	11,31
143	143	Siedenf. Weg (West)	234	Elbbrücken	10,37
144	144	Fockenweide	234	Elbbrücken	6,16
145	145	Gewerbegebiet Allermöhe Mitte	234	Elbbrücken	4,59
146	146	Krieterstr	234	Elbbrücken	36,91
147	147	Moorburg, Kreuzung	234	Elbbrücken	6,83
148	148	Riehlstr	234	Elbbrücken	9,39
149	149	Zentralschule Mittle	234	Elbbrücken	32,14
150	150	Rathaus Wilhelmsburg	234	Elbbrücken	38,28
151	151	Thielenstr.	234	Elbbrücken	13,97
152	152	Achtern Höben	234	Elbbrücken	15,91
153	153	An der Bergkoppel	234	Elbbrücken	49,02
154	154	Ziegelerstr	234	Elbbrücken	77,42
155	155	Tatenberg, Schleuse	234	Elbbrücken	1,09
156	156	Auf der Bojewiese	234	Elbbrücken	40,97
157	157	Binnenfeldredder	234	Elbbrücken	11,15
158	158	Heidkampsredder	234	Elbbrücken	29,34
159	159	Billwerder Billd(Pos	234	Elbbrücken	19,14
160	160	Niederg. Deich (Süd)	234	Elbbrücken	13,16
161	161	Unfallkrankenhaus	234	Elbbrücken	28,38
162	162	Altenwerder	234	Elbbrücken	4,21
163	163	Marschkamper Deich	234	Elbbrücken	1,28
164	164	Veringstr (Mitte)	234	Elbbrücken	12,7
165	165	Landhausplatz	234	Elbbrücken	11,89
166	166	Grandkoppelstieg	234	Elbbrücken	159,63
167	167	Zollamt Waltershof	234	Elbbrücken	3,5
168	168	Perelsstr	234	Elbbrücken	155,7
169	169	Neuhöfer Str (Ost)	234	Elbbrücken	24,09
170	170	Rudorffweg	234	Elbbrücken	157,78
171	171	Müggenburger Schleus	234	Elbbrücken	73,99
172	172	Rahmwerder Str.	234	Elbbrücken	11,8
173	173	Krankenh St-Adolf-St	234	Elbbrücken	11,16
174	174	Neuhöfer Damm	234	Elbbrücken	15,29
175	175	Jahnckesweg	234	Elbbrücken	6,66
176	176	Boberg Havighorst	234	Elbbrücken	45,41
177	177	Billwerder-Moorfleet	234	Elbbrücken	45,58
178	178	Reinbek, Grosskoppel	234	Elbbrücken	11,17
179	179	Andreas-M-Str. (Mitt	234	Elbbrücken	11,04
180	180	Billwerder Billd 34	234	Elbbrücken	4,12
181	181	Hovestr (Kehre)	234	Elbbrücken	21,2
182	182	Liedenkummer Bogen	234	Elbbrücken	0,34
183	183	Moorfleeter Deich 20	234	Elbbrücken	11,01
184	184	Stübenplatz	234	Elbbrücken	24,18
185	185	Werkcentrum Elbinsel	234	Elbbrücken	11,98
186	186	Peutestr. 24	234	Elbbrücken	74,2
187	187	Nippoldstr (Zoll)	234	Elbbrücken	116,06
188	188	S Veddel	234	Elbbrücken	55,96
189	189	Osterfelddeich	234	Elbbrücken	9,29
190	190	Halskestrasse 26	234	Elbbrücken	11,07
191	191	Holsteiner Str	234	Elbbrücken	11,16
192	192	Oderhöft	234	Elbbrücken	115,99
193	193	Wohltorfer Str	234	Elbbrücken	23,94
194	194	Rahewinkel	234	Elbbrücken	59,89
195	195	S Wohltorf	234	Elbbrücken	5,28
196	196	Oberwerder Damm	234	Elbbrücken	74,08
197	197	Pinkertweg	234	Elbbrücken	11,1
198	198	Wilhelmsburger Platz	234	Elbbrücken	9,66
199	199	S Aumühle	234	Elbbrücken	8,7
200	200	Königreich, Rademach	234	Elbbrücken	0,88
201	201	U Mümmelmannsberg	234	Elbbrücken	251,11
202	202	Waltershof, Fähre	234	Elbbrücken	138,2
203	203	Klütjenfelder Str	234	Elbbrücken	23,63
