2010 Based Geography -- PUMA to POWPUMA/MIGPUMA Relationship,,,,,,
,,,,,,
State of Residence (ST),PUMA,Place of Work State (PWSTATE2) or Migration State (MIGPLAC1),PWPUMA00 or MIGPUMA1,,,
01,00100,001,00190,,,
01,00200,001,00290,,,
01,00301,001,00290,,,
01,00302,001,00290,,,
01,00400,001,00400,,,
01,00500,001,00290,,,
01,00600,001,00600,,,
01,00700,001,00700,,,
01,00800,001,00800,,,
01,00900,001,00900,,,
01,01000,001,01000,,,
01,01100,001,01100,,,
01,01200,001,01200,,,
01,01301,001,01300,,,
01,01302,001,01300,,,
01,01303,001,01300,,,
01,01304,001,01300,,,
01,01305,001,01300,,,
01,01400,001,00190,,,
01,01500,001,01590,,,
01,01600,001,01590,,,
01,01700,001,01700,,,
01,01800,001,01800,,,
01,01900,001,01900,,,
01,02000,001,02090,,,
01,02100,001,02090,,,
01,02200,001,02200,,,
01,02300,001,02300,,,
01,02400,001,02400,,,
01,02500,001,02500,,,
01,02600,001,02600,,,
01,02701,001,02700,,,
01,02702,001,02700,,,
01,02703,001,02700,,,
02,00101,002,00100,,,
02,00102,002,00100,,,
02,00200,002,00200,,,
02,00300,002,00300,,,
02,00400,002,00400,,,
04,00100,004,00100,,,
04,00101,004,00100,,,
04,00102,004,00100,,,
04,00103,004,00100,,,
04,00104,004,00100,,,
04,00105,004,00100,,,
04,00106,004,00100,,,
04,00107,004,00100,,,
04,00108,004,00100,,,
04,00109,004,00100,,,
04,00110,004,00100,,,
04,00111,004,00100,,,
04,00112,004,00100,,,
04,00113,004,00100,,,
04,00114,004,00100,,,
04,00115,004,00100,,,
04,00116,004,00100,,,
04,00117,004,00100,,,
04,00118,004,00100,,,
04,00119,004,00100,,,
04,00120,004,00100,,,
04,00121,004,00100,,,
04,00122,004,00100,,,
04,00123,004,00100,,,
04,00124,004,00100,,,
04,00125,004,00100,,,
04,00126,004,00100,,,
04,00127,004,00100,,,
04,00128,004,00100,,,
04,00129,004,00100,,,
04,00130,004,00100,,,
04,00131,004,00100,,,
04,00132,004,00100,,,
04,00133,004,00100,,,
04,00134,004,00100,,,
04,00201,004,00200,,,
04,00202,004,00200,,,
04,00203,004,00200,,,
04,00204,004,00200,,,
04,00205,004,00200,,,
04,00206,004,00200,,,
04,00207,004,00200,,,
04,00208,004,00200,,,
04,00209,004,00200,,,
04,00300,004,00300,,,
04,00400,004,00400,,,
04,00500,004,00500,,,
04,00600,004,00600,,,
04,00700,004,00700,,,
04,00800,004,00800,,,
04,00803,004,00800,,,
04,00805,004,00800,,,
04,00807,004,00800,,,
04,00900,004,00900,,,
05,00100,005,00100,,,
05,00200,005,00200,,,
05,00300,005,00300,,,
05,00400,005,00400,,,
05,00500,005,00590,,,
05,00600,005,00590,,,
05,00700,005,00700,,,
05,00800,005,00800,,,
05,00900,005,00900,,,
05,01000,005,00900,,,
05,01100,005,01100,,,
05,01200,005,01200,,,
05,01300,005,01300,,,
05,01400,005,01400,,,
05,01500,005,01500,,,
05,01600,005,01600,,,
05,01700,005,01790,,,
05,01800,005,01790,,,
05,01900,005,01900,,,
05,02000,005,02000,,,
06,00101,006,00100,,,
06,00102,006,00100,,,
06,00103,006,00100,,,
06,00104,006,00100,,,
06,00105,006,00100,,,
06,00106,006,00100,,,
06,00107,006,00100,,,
06,00108,006,00100,,,
06,00109,006,00100,,,
06,00110,006,00100,,,
06,00300,006,00300,,,
06,00701,006,00700,,,
06,00702,006,00700,,,
06,01100,006,01100,,,
06,01301,006,01300,,,
06,01302,006,01300,,,
06,01303,006,01300,,,
06,01304,006,01300,,,
06,01305,006,01300,,,
06,01306,006,01300,,,
06,01307,006,01300,,,
06,01308,006,01300,,,
06,01309,006,01300,,,
06,01500,006,01500,,,
06,01700,006,01700,,,
06,01901,006,01900,,,
06,01902,006,01900,,,
06,01903,006,01900,,,
